element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ti,1,1702.516,0.003,1702.519,0.003,16,,,35469.497,41341.543,3d4,3H,6,3d3.(2H).4p,3G*,5,,,L10989,
Ti,1,1702.809,0.003,1702.8098,0.0015,8,,,33655.869,39526.912,3d3.(4F).4p,w 3F*,2,3d3.(4F).5s,f 3F,2,,,L10989,
Ti,1,1703.0949,0.0009,1703.0946,0.0006,133,,,42530.2894,48400.3506,3d2.4s.(4F).4d,3H,6,3d2.4s.(4F<9/2>).4f,2[13/2]*,6,,,L12119,
Ti,1,1703.635,0.003,1703.6354,0.0006,7,,,42368.0934,48236.2911,3d2.4s.(4F).4d,3H,5,3d2.4s.(4F<7/2>).4f,2[9/2]*,4,,,L12119,
Ti,1,1703.838,0.003,1703.8380,0.0006,6,,,42530.2894,48397.7893,3d2.4s.(4F).4d,3H,6,3d2.4s.(4F<9/2>).4f,2[9/2]*,5,,,L12119,
Ti,1,1704.7064,0.0009,1704.7067,0.0005,65,,,42368.0934,48232.6032,3d2.4s.(4F).4d,3H,5,3d2.4s.(4F<7/2>).4f,2[11/2]*,5,,,L12119,
Ti,1,1706.089,0.003,1706.0894,0.0007,10,,,42530.2894,48390.0466,3d2.4s.(4F).4d,3H,6,3d2.4s.(4F<9/2>).4f,2[13/2]*,7,,,L12119,
Ti,1,1706.5330,0.0009,1706.5329,0.0005,38,,,42368.0934,48226.3275,3d2.4s.(4F).4d,3H,5,3d2.4s.(4F<7/2>).4f,2[11/2]*,6,,,L12119,
Ti,1,1706.831,0.003,1706.8303,0.0005,10,,,42368.0934,48225.3069,3d2.4s.(4F).4d,3H,5,3d2.4s.(4F<7/2>).4f,2[9/2]*,5,,,L12119,
Ti,1,1707.401,0.003,1707.4038,0.0018,12,,,35400.235,41255.481,3d4,3H,5,3d3.(2H).4p,3G*,4,,,L10989,
Ti,1,1711.797,0.004,1711.7979,0.0023,19,,,36013.597,41853.813,3d2.4s.(4F).5s,e 5F,2,3d2.4s.(4F).5p,5F*,1,,,L10989,
Ti,2,1711.7982,0.0006,1711.7970,0.0012,44bl,,,76311.242,82151.461,3d2.(3P).4d,4F,5/2,3d2.(3F).4f,2F*,7/2,,,u37,
Ti,1,1715.4772,0.0009,1715.4773,0.0005,45,,,42184.6261,48012.3158,3d2.4s.(4F).4d,e 5D,4,3d2.4s.(4F<3/2>).4f,2[9/2]*,5,,,L12119,
Ti,1,1716.429,0.004,1716.4312,0.0018,9,,,35345.555,41170.006,3d4,3H,4,3d3.(2H).4p,3G*,3,,,L10989,
Ti,1,1716.4680,0.0009,1716.4680,0.0007,61,,,42190.8217,48015.1480,3d2.4s.4d,3P,1,3d2.4s.(4F<3/2>).4f,2[3/2]*,2,,,L12119,
Ti,2,1717.6636,0.0012,1717.6638,0.0007,28,,,76496.2220,82316.4935,3d2.(3P).4d,4F,9/2,3d2.(3P).5p,4D*,7/2,,,u37,
Ti,1,1718.4097,0.0009,1718.4100,0.0005,13,,,42184.6261,48002.3702,3d2.4s.(4F).4d,e 5D,4,3d2.4s.(4F<3/2>).4f,2[7/2]*,4,,,L12119,
Ti,1,1720.741,0.004,1720.7419,0.0018,24,,,36096.542,41906.402,3d2.4s.(4F).5s,e 5F,3,3d2.4s.(4F).5p,5F*,2,,,L10989,
