element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Br,5,63.222,0.010,,800,,,,,,,,,,,,,L930,
Br,4,63.5035,0.0010,63.5035+,700,,,5611.9,163083.5,4s2.4p2,3P,2,4s2.4p.4d,3F,2,,,L1157,
Br,4,63.7437,0.0010,63.7438+,900,,,5611.9,162490.0,4s2.4p2,3P,2,4s.4p3,1P,1,,,L1157,
Br,4,64.2227,0.0010,64.2231+,1000,,,5611.9,161319.0,4s2.4p2,3P,2,4s.4p3,3S,1,,,L1157,
Br,5,64.544,0.010,,700,,,,,,,,,,,,,L930,
Br,4,64.9773,0.0010,64.9769+,700,,,5611.9,159512.7,4s2.4p2,3P,2,4s2.4p.4d,3F,3,,,L1157,
Br,5,65.264,0.010,,400,,,,,,,,,,,,,L930,
Br,4,65.2667,0.0010,65.2686+,400,,,16190.4,169403.5,4s2.4p2,1D,2,4s2.4p.4d,3D,2,,,L1157,
Br,5,65.754,0.010,,800,,,,,,,,,,,,,L930,
Br,4,66.1528,0.0010,66.1524+,1000,,,16190.4,167356.6,4s2.4p2,1D,2,4s2.4p.4d,3D,1,,,L1157,
Br,3,66.554,0.010,,500,,,,,,,,,,,,,L773,
Br,3,67.719,0.010,,500,,,,,,,,,,,,,L773,
Br,3,67.78,0.10,,300,,,,,,,,,,,,,L7483,
Br,5,67.962,0.010,,800,,,,,,,,,,,,,L930,
Br,4,68.0784,0.0010,68.0767+,800,,,16190.4,163083.5,4s2.4p2,1D,2,4s2.4p.4d,3F,2,,,L1157,
Br,4,68.3510,0.0010,68.3529+,1000,,,16190.4,162490.0,4s2.4p2,1D,2,4s.4p3,1P,1,,,L1157,
Br,3,68.768,0.010,,450,,,,,,,,,,,,,L773,
Br,4,68.9045,0.0010,68.9044+,700,,,16190.4,161319.0,4s2.4p2,1D,2,4s.4p3,3S,1,,,L1157,
Br,3,69.02,0.10,,400,,,,,,,,,,,,,L7483,
Br,3,69.699,0.010,,350,,,,,,,,,,,,,L773,
Br,4,69.7723,0.0010,69.7728+,1000,,,16190.4,159512.7,4s2.4p2,1D,2,4s2.4p.4d,3F,3,,,L1157,
Br,4,70.3866,0.0010,70.3870+,700,,,0.0,142071.6,4s2.4p2,3P,0,4s.4p3,3P,1,,,L1157,
Br,2,71.168,0.010,,300,,,,,,,,,,,,,L7484,
Br,4,71.5385,0.0010,71.5371+,1000,,,2622.0,142409.6,4s2.4p2,3P,1,4s.4p3,3P,2,,,L1157,
Br,4,71.7098,0.0010,71.7105+,500,,,2622.0,142071.6,4s2.4p2,3P,1,4s.4p3,3P,1,,,L1157,
Br,4,72.2956,0.0010,72.2951+,200,,,5611.9,143933.8,4s2.4p2,3P,2,4s.4p3,1D,2,,,L1157,
Br,3,72.70,0.10,,300,,,,,,,,,,,,,L7483,
Br,4,72.9570,0.0010,72.9499+,800,,,2622.0,139702.3,4s2.4p2,3P,1,4s.4p3,3P,0,,,L1157,
Br,4,73.1001,0.0010,73.1006+,1000,,,5611.9,142409.6,4s2.4p2,3P,2,4s.4p3,3P,2,,,L1157,
Br,4,73.2830,0.0010,73.2817+,750,,,5611.9,142071.6,4s2.4p2,3P,2,4s.4p3,3P,1,,,L1157,
Br,3,73.64,0.10,,300,,,,,,,,,,,,,L7483,
Br,4,75.7633,0.0010,75.7611+,400,,,84053.7,216047.5,4s.4p3,5S,2,4s2.4p.5p,3D,1,,,L1157,
Br,3,76.963,0.010,,250,,,,,,,,,,,,,L773,
Br,4,78.2808,0.0010,78.2819+,700,,,16190.4,143933.8,4s2.4p2,1D,2,4s.4p3,1D,2,,,L1157,
Br,4,78.4645,0.0010,78.4660+,900,,,0.0,127443.7,4s2.4p2,3P,0,4s.4p3,3D,1,,,L1157,
Br,4,79.2261,0.0010,79.2272+,300,,,16190.4,142409.6,4s2.4p2,1D,2,4s.4p3,3P,2,,,L1157,
Br,4,80.0122,0.0010,80.0127+,1000,,,2622.0,127602.1,4s2.4p2,3P,1,4s.4p3,3D,2,,,L1157,
Br,4,80.1145,0.0010,80.1143+,800,,,2622.0,127443.7,4s2.4p2,3P,1,4s.4p3,3D,1,,,L1157,
Br,5,81.295,0.010,,700,,,,,,,,,,,,,L930,
Br,4,81.3657,0.0010,81.3657+,1000,,,5611.9,128513.8,4s2.4p2,3P,2,4s.4p3,3D,3,,,L1157,
Br,2,81.548,0.010,,250,,,,,,,,,,,,,L7484,
Br,3,81.779,0.010,,250,,,,,,,,,,,,,L773,
Br,4,81.9732,0.0010,81.9738+,800,,,5611.9,127602.1,4s2.4p2,3P,2,4s.4p3,3D,2,,,L1157,
Br,4,82.0804,0.0010,82.0804+,600,,,5611.9,127443.7,4s2.4p2,3P,2,4s.4p3,3D,1,,,L1157,
Br,5,85.081,0.010,,1000,,,,,,,,,,,,,L930,
Br,5,85.527,0.010,,150,,,,,,,,,,,,,L930,
Br,2,85.619,0.010,,350,,,,,,,,,,,,,L7484,
