element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Rb,12,7.5533,0.0005,7.5533,320,2.44e+10,,0,1323930,3p6.3d8,3F,4,3d7.(2G).4p,1G*,4,,T5462,L6380,
Rb,12,7.5533,0.0005,7.5531,320,6.27e+10,,34020,1357980,3p6.3d8,1D,2,3d7.(2D).4p,1P*,1,,T5462,L6380,
Rb,12,7.5533,0.0005,7.5536,320,1.34e+10,,48070,1371950,3p6.3d8,3P,2,3d7.(2F).4p,3D*,3,,T5462,L6380,
Rb,12,7.5563,0.0005,7.5563,40,2.11e+10,,34020,1357420,3p6.3d8,1D,2,3d7.(2D).4p,1F*,3,,T5462,L6380,
Rb,12,7.5645,0.0005,7.5646,80,1.56e+10,,0,1321950,3p6.3d8,3F,4,3d7.(2P).4p,3D*,3,,T5462,L6380,
Rb,12,7.5645,0.0005,7.5649,80,1.90e+10,,10980,1332870,3p6.3d8,3F,3,3d7.(2G).4p,3F*,2,,T5462,L6380,
Rb,12,7.5673,0.0005,7.5673,130,2.80e+10,,10980,1332450,3p6.3d8,3F,3,3d7.(2G).4p,3F*,3,,T5462,L6380,
Rb,12,7.5755,0.0005,7.5755,40,2.28e+10,,10980,1331030,3p6.3d8,3F,3,3d7.(4P).4p,3D*,2,,T5462,L6380,
Rb,12,7.5786,0.0005,7.5786,1000,6.95e+10,,0,1319510,3p6.3d8,3F,4,3d7.(2H).4p,3G*,5,,T5462,L6380,
Rb,12,7.5786,0.0005,7.5786,1000,9.77e+10,,10980,1330490,3p6.3d8,3F,3,3d7.(2H).4p,3G*,4,,T5462,L6380,
Rb,12,7.5889,0.0005,7.5889,80,5.80e+10,,15610,1333320,3p6.3d8,3F,2,3d7.(2P).4p,1P*,1,,T5462,L6380,
Rb,12,7.5913,0.0005,7.5915,110,5.72e+10,,15610,1332870,3p6.3d8,3F,2,3d7.(2G).4p,3F*,2,,T5462,L6380,
Rb,12,7.5940,0.0005,7.5939,20,7.14e+09,,15610,1332450,3p6.3d8,3F,2,3d7.(2G).4p,3F*,3,,T5462,L6380,
Rb,12,7.6023,0.0005,7.6021,14,2.14e+10,,15610,1331030,3p6.3d8,3F,2,3d7.(4P).4p,3D*,2,,T5462,L6380,
Rb,12,7.6089,0.0005,7.6088,94,1.70e+10,,57680,1371950,3p6.3d8,1G,4,3d7.(2F).4p,3D*,3,,T5462,L6380,
Rb,12,7.6102,0.0005,7.6102,27,1.90e+10,,15610,1329630,3p6.3d8,3F,2,3d7.(4P).4p,3S*,1,,T5462,L6380,
Rb,12,7.6132,0.0005,7.6132,240,4.80e+10,,10980,1324490,3p6.3d8,3F,3,3d7.(4P).4p,5P*,3,,T5462,L6380,
Rb,12,7.6132,0.0005,7.6132,240,6.22e+09,,0,1313510,3p6.3d8,3F,4,3d7.(2G).4p,3H*,4,,T5462,L6380,
Rb,12,7.6132,0.0005,7.6132,240,4.43e+10,,34020,1347530,3p6.3d8,1D,2,3d7.(2P).4p,3S*,1,,T5462,L6380,
Rb,12,7.6165,0.0005,7.6166,20,7.86e+09,,34020,1346950,3p6.3d8,1D,2,3d7.(2G).4p,1F*,3,,T5462,L6380,
Rb,12,7.6202,0.0005,7.6201,50,2.26e+10,,15610,1327930,3p6.3d8,3F,2,3d7.(2D).4p,3D*,3,,T5462,L6380,
Rb,12,7.6223,0.0005,7.6224,120,1.21e+11,,127270,1439200,3p6.3d8,1S,0,3d7.(2<1>D).4p,3D*,1,,T5462,L6380,
Rb,12,7.6223,0.0005,7.6224,120,3.20e+10,,34020,1345950,3p6.3d8,1D,2,3d7.(2D).4p,1D*,2,,T5462,L6380,
Rb,12,7.6281,0.0005,7.6279,25,1.06e+10,,10980,1321950,3p6.3d8,3F,3,3d7.(2P).4p,3D*,3,,T5462,L6380,
Rb,12,7.6341,0.0005,7.6341,100,1.03e+11,,48070,1357980,3p6.3d8,3P,2,3d7.(2D).4p,1P*,1,,T5462,L6380,
Rb,12,7.6402,0.0005,7.6401,15,1.07e+10,,15610,1324490,3p6.3d8,3F,2,3d7.(4P).4p,5P*,3,,T5462,L6380,
Rb,12,7.6437,0.0005,7.6437,10,1.50e+10,,10980,1319250,3p6.3d8,3F,3,3d7.(2P).4p,1D*,2,,T5462,L6380,
Rb,12,7.6491,0.0005,7.6491,400,7.52e+10,,0,1307350,3p6.3d8,3F,4,3d7.(2G).4p,3F*,4,,T5462,L6380,
Rb,12,7.6523,0.0005,7.6524,40,1.64e+10,,10980,1317760,3p6.3d8,3F,3,3d7.(2G).4p,3G*,3,,T5462,L6380,
Rb,12,7.6539,0.0005,7.6540,130,7.04e+10,,48070,1354580,3p6.3d8,3P,2,3d7.(2D).4p,3P*,2,,T5462,L6380,
Rb,12,7.6598,0.0005,7.6598,50,1.77e+10,,34020,1339540,3p6.3d8,1D,2,3d7.(2H).4p,3G*,3,,T5462,L6380,
Rb,12,7.6623,0.0005,7.6623,350,1.13e+10,,57680,1362770,3p6.3d8,1G,4,3d7.(2H).4p,1H*,5,,T5462,L6380,
Rb,12,7.6623,0.0005,7.6622,350,1.65e+11,,34020,1339130,3p6.3d8,1D,2,3d7.(4P).4p,3P*,1,,T5462,L6380,
Rb,12,7.6797,0.0005,7.6796,90,2.13e+10,,15610,1317760,3p6.3d8,3F,2,3d7.(2G).4p,3G*,3,,T5462,L6380,
Rb,12,7.6797,0.0005,7.6797,90,6.17e+10,,127270,1429400,3p6.3d8,1S,0,3d7.(2<1>D).4p,1P*,1,,T5462,L6380,
Rb,12,7.6942,0.0005,7.6938,14,1.21e+10,,57680,1357420,3p6.3d8,1G,4,3d7.(2D).4p,1F*,3,,T5462,L6380,
Rb,12,7.6990,0.0005,7.6989,150,4.41e+10,,48070,1346950,3p6.3d8,3P,2,3d7.(2G).4p,1F*,3,,T5462,L6380,
Rb,12,7.7043,0.0005,7.7043,40,1.48e+10,,10980,1308950,3p6.3d8,3F,3,3d7.(4P).4p,5D*,2,,T5462,L6380,
Rb,12,7.7072,0.0005,7.7072,120,3.77e+10,,0,1297490,3p6.3d8,3F,4,3d7.(4F).4p,3F*,3,,T5462,L6380,
Rb,12,7.7184,0.0005,7.7184,25,3.10e+10,,34020,1329630,3p6.3d8,1D,2,3d7.(4P).4p,3S*,1,,T5462,L6380,
Rb,12,7.7285,0.0005,7.7285,40,9.0e+09,,34020,1327930,3p6.3d8,1D,2,3d7.(2D).4p,3D*,3,,T5462,L6380,
Rb,12,7.7313,0.0005,7.7313,680,1.90e+11,,57680,1351120,3p6.3d8,1G,4,3d7.(2G).4p,1G*,4,,T5462,L6380,
Rb,12,7.7428,0.0005,7.7428,90,2.86e+10,,0,1291520,3p6.3d8,3F,4,3d7.(4F).4p,3D*,3,,T5462,L6380,
Rb,12,7.7454,0.0005,7.7456,25,3.13e+10,,48070,1339130,3p6.3d8,3P,2,3d7.(4P).4p,3P*,1,,T5462,L6380,
Rb,12,7.7486,0.0005,7.7486,60,1.22e+10,,57680,1348230,3p6.3d8,1G,4,3d7.(2H).4p,3H*,5,,T5462,L6380,
Rb,12,7.7538,0.0005,7.7538,80,2.47e+10,,47220,1336910,3p6.3d8,3P,0,3d7.(2D).4p,3D*,1,,T5462,L6380,
Rb,12,7.7538,0.0005,7.7539,80,1.24e+10,,10980,1300650,3p6.3d8,3F,3,3d7.(4F).4p,3F*,2,,T5462,L6380,
Rb,12,7.7568,0.0005,7.7563,30,1.24e+10,,57680,1346950,3p6.3d8,1G,4,3d7.(2G).4p,1F*,3,,T5462,L6380,
Rb,12,7.7607,0.0005,7.7607,20,3.03e+10,,15610,1304150,3p6.3d8,3F,2,3d7.(4F).4p,3D*,1,,T5462,L6380,
Rb,12,7.7638,0.0005,7.7637,170,3.08e+10,,0,1288040,3p6.3d8,3F,4,3d7.(4F).4p,3F*,4,,T5462,L6380,
Rb,12,7.7719,0.0005,7.7719,80,2.20e+10,,10980,1297670,3p6.3d8,3F,3,3d7.(4F).4p,3D*,2,,T5462,L6380,
Rb,12,7.7727,0.0005,7.7730,100,1.91e+10,,10980,1297490,3p6.3d8,3F,3,3d7.(4F).4p,3F*,3,,T5462,L6380,
Rb,12,7.7819,0.0005,7.7819,80,2.66e+10,,15610,1300650,3p6.3d8,3F,2,3d7.(4F).4p,3F*,2,,T5462,L6380,
Rb,12,7.7946,0.0005,7.7939,12,2.17e+10,,46580,1329630,3p6.3d8,3P,1,3d7.(4P).4p,3S*,1,,T5462,L6380,
Rb,12,7.8000,0.0005,7.7999,30,1.36e+10,,15610,1297670,3p6.3d8,3F,2,3d7.(4F).4p,3D*,2,,T5462,L6380,
Rb,12,7.8015,0.0005,7.8016,180,1.80e+10,,0,1281790,3p6.3d8,3F,4,3d7.(4F).4p,5F*,4,,T5462,L6380,
Rb,12,7.8057,0.0005,7.8057,30,2.07e+10,,46580,1327700,3p6.3d8,3P,1,3d7.(2P).4p,3D*,1,,T5462,L6380,
Rb,12,7.8092,0.0005,7.8092,70,1.90e+10,,10980,1291520,3p6.3d8,3F,3,3d7.(4F).4p,3D*,3,,T5462,L6380,
Rb,12,7.8196,0.0005,7.8196,25,1.24e+10,,46580,1325420,3p6.3d8,3P,1,3d7.(4P).4p,5P*,2,,T5462,L6380,
Rb,12,7.8303,0.0005,7.8305,50,3.89e+09,,10980,1288040,3p6.3d8,3F,3,3d7.(4F).4p,3F*,4,,T5462,L6380,
Rb,12,7.8341,0.0005,7.8344,25,8.43e+09,,48070,1324490,3p6.3d8,3P,2,3d7.(4P).4p,5P*,3,,T5462,L6380,
Rb,12,7.8378,0.0005,7.8379,60,9.18e+09,,57680,1333540,3p6.3d8,1G,4,3d7.(2G).4p,1H*,5,,T5462,L6380,
Rb,12,7.8568,0.0005,7.8568,40,6.18e+09,,57680,1330460,3p6.3d8,1G,4,3d7.(2H).4p,3I*,5,,T5462,L6380,
Rb,12,7.8597,0.0005,7.8591,30,1.43e+10,,46580,1318990,3p6.3d8,3P,1,3d7.(4P).4p,5P*,1,,T5462,L6380,
Rb,11,7.9083,0.0005,7.9083,30,5.e+07,,0,1264500,3d9,2D,5/2,3d8.(1S).4p,2P*,3/2,,T7703,L6226,
Rb,12,7.9145,0.0005,7.9147,30,9.0e+09,,34020,1297490,3p6.3d8,1D,2,3d7.(4F).4p,3F*,3,,T5462,L6380,
Rb,12,7.9523,0.0005,7.9523,70,1.33e+10,,34020,1291520,3p6.3d8,1D,2,3d7.(4F).4p,3D*,3,,T5462,L6380,
Rb,11,7.9866,0.0005,7.9863,6,1.2e+07,,12360,1264500,3d9,2D,3/2,3d8.(1S).4p,2P*,3/2,,T7703,L6226,
Rb,12,7.9936,0.0005,7.9930,30,1.30e+10,,46580,1297670,3p6.3d8,3P,1,3d7.(4F).4p,3D*,2,,T5462,L6380,
Rb,11,8.0789,0.0005,8.0788,30,8.e+07,,12360,1250160,3d9,2D,3/2,3d8.(1S).4p,2P*,1/2,,T7703,L6226,
Rb,11,8.3211,0.0005,8.3211,50,4.4e+07,,0,1201760,3d9,2D,5/2,3d8.(1G).4p,2G*,7/2,,T7703,L6226,
Rb,11,8.4128,0.0005,8.4128,65,8.e+07,,0,1188670,3d9,2D,5/2,3d8.(3P).4p,2D*,3/2,,T7703,L6226,
Rb,11,8.4262,0.0005,8.4262,120,8.9e+07,,0,1186780,3d9,2D,5/2,3d8.(3P).4p,4D*,7/2,,T7703,L6226,
Rb,11,8.4376,0.0005,8.4375,110,4.0e+08,,12360,1197540,3d9,2D,3/2,3d8.(3P).4p,2P*,1/2,,T7703,L6226,
Rb,11,8.4531,0.0005,8.4531,220,4.4e+08,,0,1183000,3d9,2D,5/2,3d8.(3P).4p,2P*,3/2,,T7703,L6226,
Rb,11,8.4860,0.0005,8.4859,400,6.0e+08,,12360,1190780,3d9,2D,3/2,3d8.(1G).4p,2F*,5/2,,T7703,L6226,
Rb,11,8.4887,0.0005,8.4887,50,1.4e+08,,12360,1190400,3d9,2D,3/2,3d8.(3P).4p,2S*,1/2,,T7703,L6226,
Rb,13,8.4917,0.0005,8.4915,80,3.45e+08,,44846,1222490,3p6.3d7,2G,9/2,3p5.(2P*).3d8.(3F),2G*,9/2,,T7145,L9211,
Rb,12,8.4921,0.0005,8.4924,30,1.09e+09,,10980,1188510,3p6.3d8,3F,3,3p5.3d9,1F*,3,,T4558,L5979,
Rb,11,8.4939,0.0005,8.4939,60,1.1e+08,,0,1177320,3d9,2D,5/2,3d8.(3P).4p,4D*,5/2,,T7703,L6226,
Rb,11,8.4992,0.0005,8.4992,110,1.4e+08,,0,1176580,3d9,2D,5/2,3d8.(1D).4p,2P*,3/2,,T7703,L6226,
Rb,11,8.5026,0.0005,8.5012,410*u,4.2e+07,,12360,1188670,3d9,2D,3/2,3d8.(3P).4p,2D*,3/2,,T7703,L6226,
Rb,11,8.5026,0.0005,8.5025,410*u,3.7e+08,,0,1176120,3d9,2D,5/2,3d8.(1G).4p,2F*,7/2,,T7703,L6226,
Rb,11,8.5242,0.0005,8.5242,75,1.0e+08,,12360,1185490,3d9,2D,3/2,3d8.(3P).4p,2D*,5/2,,T7703,L6226,
Rb,11,8.5304,0.0005,8.5305,20,2.2e+07,,0,1172270,3d9,2D,5/2,3d8.(3P).4p,4D*,3/2,,T7703,L6226,
Rb,11,8.5424,0.0005,8.5423,130,3.4e+08,,12360,1183000,3d9,2D,3/2,3d8.(3P).4p,2P*,3/2,,T7703,L6226,
Rb,11,8.5447,0.0005,8.5447,300,3.5e+08,,0,1170320,3d9,2D,5/2,3d8.(1D).4p,2D*,5/2,,T7703,L6226,
Rb,11,8.5625,0.0005,8.5625,320,2.94e+08,,0,1167890,3d9,2D,5/2,3d8.(1D).4p,2F*,7/2,,T7703,L6226,
Rb,11,8.5658,0.0005,8.5658,40,7.8e+07,,0,1167430,3d9,2D,5/2,3d8.(1D).4p,2D*,3/2,,T7703,L6226,
Rb,13,8.5794,0.0005,8.5793,1200,6.30e+09,,70520,1236110,3p6.3d7,2H,9/2,3p5.(2P*).3d8.(3F),2G*,7/2,,T7145,L9211,
Rb,13,8.6088,0.0005,8.6090,1600,7.26e+09,,60910,1222490,3p6.3d7,2H,11/2,3p5.(2P*).3d8.(3F),2G*,9/2,,T7145,L9211,
Rb,11,8.6215,0.0005,8.6214,50,8.8e+07,,12360,1172270,3d9,2D,3/2,3d8.(3P).4p,4D*,3/2,,T7703,L6226,
Rb,11,8.6360,0.0005,8.6359,60,7.7e+07,,12360,1170320,3d9,2D,3/2,3d8.(1D).4p,2D*,5/2,,T7703,L6226,
