element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,2,414.3736,414.3739,12,,,267775.48+x,291901.47+x,2s.2p3.(5S*).3p,6P,5/2,2s.2p3.(5S*).3d,6D*,7/2,,,L10621,
O,2,414.5699,414.5689,6,,,267788.09+x,291902.73+x,2s.2p3.(5S*).3p,6P,7/2,2s.2p3.(5S*).3d,6D*,5/2,,,L10621,
O,2,414.5907,414.5906,10,,,267788.09+x,291901.47+x,2s.2p3.(5S*).3p,6P,7/2,2s.2p3.(5S*).3d,6D*,7/2,,,L10621,
O,2,414.6076,414.6076,13,,,267788.09+x,291900.48+x,2s.2p3.(5S*).3p,6P,7/2,2s.2p3.(5S*).3d,6D*,9/2,,,L6915,
O,2,415.32980,415.32977,18,7.28e+07,B,208392.258,232462.724,2s2.2p2.(3P).3p,4P*,3/2,2s2.2p2.(3P).3d,4P,5/2,,T6632n,L6915,
O,2,415.6530,415.65302,13,1.94e+07,B,208484.202,232535.949,2s2.2p2.(3P).3p,4P*,5/2,2s2.2p2.(3P).3d,4P,3/2,,T6632n,L10621,
O,2,416.9225,416.92236,15,2.49e+07,B,208484.202,232462.724,2s2.2p2.(3P).3p,4P*,5/2,2s2.2p2.(3P).3d,4P,5/2,,T6632n,"L10621,L3448",
O,2,418.5449,418.5440,19,1.91e+08,D,228723.84,252609.46,2s2.2p2.(1D).3p,2F*,5/2,2s2.2p2.(1D).3d,2G,7/2,,T5723LS,L10621,
O,2,418.9789,418.9788,20,1.98e+08,D,228747.45,252608.28,2s2.2p2.(1D).3p,2F*,7/2,2s2.2p2.(1D).3d,2G,9/2,,T5723LS,"L10621,L3448",
O,2,419.2518,419.2512,12,3.21e+07,D,229947.07,253792.40,2s2.2p2.(1D).3p,2D*,5/2,2s2.2p2.(1D).3d,2P,3/2,,T5723LS,L10621,
O,2,419.6260,419.6273,6,3.56e+06,D,229968.44,253792.40,2s2.2p2.(1D).3p,2D*,3/2,2s2.2p2.(1D).3d,2P,3/2,,T5723LS,L10621,
O,2,419.6701,419.6697,10,3.56e+07,D,229968.44,253789.99,2s2.2p2.(1D).3p,2D*,3/2,2s2.2p2.(1D).3d,2P,1/2,,T5723LS,L10621,
O,2,422.1703,422.1701,7,,,232462.724,256143.187,2s2.2p2.(3P).3d,4P,5/2,2s2.2p2.(3P).4f F,2[4]*,7/2,,,L10621,
O,2,422.4796,422.4806,6,,,232462.724,256125.785,2s2.2p2.(3P).3d,4P,5/2,2s2.2p2.(3P).4f F,2[3]*,5/2,,,L10621,
O,1,423.327,423.3274,80,4.04e+05,C+,99681.049,123296.777,2s2.2p3.(4S*).4p,3P,2,2s2.2p3.(2D*<3/2>).3d,3P*,2,,T5713LS,L3760,
O,2,423.7930,423.7921,9,,,232535.949,256125.785,2s2.2p2.(3P).3d,4P,3/2,2s2.2p2.(3P).4f F,2[3]*,5/2,,,L10621,
O,2,424.5519,424.5512,6,,,232535.949,256083.604,2s2.2p2.(3P).3d,4P,3/2,2s2.2p2.(3P).4f F,2[2]*,3/2,,,L10621,
O,2,425.3895,425.3894,15,,,252608.28,276109.54,2s2.2p2.(1D).3d,2G,9/2,2s2.2p2.(1D).4f H,2[5]*,11/2,,,L6915,
O,2,425.4121,425.4122,15,,,252609.46,276109.46,2s2.2p2.(1D).3d,2G,7/2,2s2.2p2.(1D).4f H,2[5]*,9/2,,,L6915,
O,2,425.7549,425.7544,9,,,232602.492,256083.604,2s2.2p2.(3P).3d,4P,1/2,2s2.2p2.(3P).4f F,2[2]*,3/2,,,L10621,
O,2,427.3104,427.3101,11,,,232747.562,256143.187,2s2.2p2.(3P).3d,4D,5/2,2s2.2p2.(3P).4f F,2[4]*,7/2,,,L10621,
O,2,427.4240,427.4243,10,,,232753.816,256143.187,2s2.2p2.(3P).3d,4D,7/2,2s2.2p2.(3P).4f F,2[4]*,7/2,,,L10621,
O,2,427.5551,427.55507,16,,,232753.816,256136.036,2s2.2p2.(3P).3d,4D,7/2,2s2.2p2.(3P).4f F,2[4]*,9/2,,,L6915,
O,2,427.5994,427.5993,11,,,232745.981,256125.785,2s2.2p2.(3P).3d,4D,3/2,2s2.2p2.(3P).4f F,2[3]*,5/2,,,L10621,
O,2,427.6281,427.6282,11,,,232747.562,256125.785,2s2.2p2.(3P).3d,4D,5/2,2s2.2p2.(3P).4f F,2[3]*,5/2,,,L10621,
O,2,427.6748,427.67489,15,,,232747.562,256123.231,2s2.2p2.(3P).3d,4D,5/2,2s2.2p2.(3P).4f F,2[3]*,7/2,,,L6915,
O,2,427.7427,427.7426,14*,,,232753.816,256125.785,2s2.2p2.(3P).3d,4D,7/2,2s2.2p2.(3P).4f F,2[3]*,5/2,,,L6915,
O,2,427.7427,427.7427,14*,,,232711.642,256083.604,2s2.2p2.(3P).3d,4D,1/2,2s2.2p2.(3P).4f F,2[2]*,3/2,,,L6915,
O,2,427.7706,427.7695,6,6.93e+06,D,232527.09,255897.59,2s2.2p2.(1D).3p,2P*,3/2,2s2.2p2.(3P).4d,2D,5/2,,T5723LS,L10621,
O,2,427.7892,427.78935,12,,,232753.816,256123.231,2s2.2p2.(3P).3d,4D,7/2,2s2.2p2.(3P).4f F,2[3]*,7/2,,,L6915,
O,2,427.9156,427.9165,7,5.77e+06,D,232480.44,255842.91,2s2.2p2.(1D).3p,2P*,1/2,2s2.2p2.(3P).4d,2D,3/2,,T5723LS,L10621,
O,2,428.1318,428.13134,11,,,232462.724,255813.472,2s2.2p2.(3P).3d,4P,5/2,2s2.2p2.(3P).4f D,2[2]*,5/2,,,L10621,
O,2,428.2964,428.29610,14,,,232745.981,256087.746,2s2.2p2.(3P).3d,4D,3/2,2s2.2p2.(3P).4f F,2[2]*,5/2,,,L6915,
O,2,428.3249,428.32512,9,,,232747.562,256087.746,2s2.2p2.(3P).3d,4D,5/2,2s2.2p2.(3P).4f F,2[2]*,5/2,,,L10621,
O,2,428.3727,428.3721,12,,,232745.981,256083.604,2s2.2p2.(3P).3d,4D,3/2,2s2.2p2.(3P).4f F,2[2]*,3/2,,,L10621,
O,2,428.4002,428.4011,6,,,232747.562,256083.604,2s2.2p2.(3P).3d,4D,5/2,2s2.2p2.(3P).4f F,2[2]*,3/2,,,L10621,
O,2,428.4393,428.43992,7,,,232753.816,256087.746,2s2.2p2.(3P).3d,4D,7/2,2s2.2p2.(3P).4f F,2[2]*,5/2,,,L10621,
O,2,428.5687,428.5684,15,,,232796.298,256123.231,2s2.2p2.(3P).3d,2F,5/2,2s2.2p2.(3P).4f F,2[3]*,7/2,,,L6915,
O,2,428.7734,428.7727,5,1.15e+06,D,232527.09,255842.91,2s2.2p2.(1D).3p,2P*,3/2,2s2.2p2.(3P).4d,2D,3/2,,T5723LS,L10621,
O,2,428.8820,428.8820,13*,,,232602.492,255912.37,2s2.2p2.(3P).3d,4P,1/2,2s2.2p2.(3P).4f D,2[1]*,1/2,,,L6915,
O,2,428.8820,428.8829,13*,,,232602.492,255912.32,2s2.2p2.(3P).3d,4P,1/2,2s2.2p2.(3P).4f D,2[1]*,3/2,,,L6915,
O,2,429.1254,429.12535,14,,,232462.724,255759.384,2s2.2p2.(3P).3d,4P,5/2,2s2.2p2.(3P).4f G,2[3]*,7/2,,,L6915,
O,2,429.1857,429.18528,7,,,232462.724,255756.131,2s2.2p2.(3P).3d,4P,5/2,2s2.2p2.(3P).4f G,2[3]*,5/2,,,L10621,
O,2,429.2211,429.22138,13,,,232796.298,256087.746,2s2.2p2.(3P).3d,2F,5/2,2s2.2p2.(3P).4f F,2[2]*,5/2,,,L6915,
O,2,429.2954,429.2977,2,,,232796.298,256083.604,2s2.2p2.(3P).3d,2F,5/2,2s2.2p2.(3P).4f F,2[2]*,3/2,,,L10621,
O,2,429.4781,429.47815,15,,,232535.949,255813.472,2s2.2p2.(3P).3d,4P,3/2,2s2.2p2.(3P).4f D,2[2]*,5/2,,,L6915,
O,2,430.2858,430.2853,9*,,,252608.28,275842.14,2s2.2p2.(1D).3d,2G,9/2,2s2.2p2.(1D).4f G,2[4]*,9/2,,,L10621,
O,2,430.2858,430.2853,9*,,,252608.28,275842.14,2s2.2p2.(1D).3d,2G,9/2,2s2.2p2.(1D).4f G,2[4]*,7/2,,,L10621,
