element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ga,3,46.6686,0.0010,46.6684+,7,,,65169.40,279447,3d10.4p,2P*,1/2,3d9.(2D).4p2.(3P),4P,1/2,,,L12180,
Ga,3,46.6830,0.0010,46.6829+,13,,,66887.63,281099,3d10.4p,2P*,3/2,3d9.(2D).4p2.(3P),2P,1/2,,,L12180,
Ga,4,46.7085,0.0010,46.7087+,3,,,236311.9,450405,3d9.4p,1P*,1,3d9.7s,"(3/2,1/2)",2,,,L12180,
Ga,4,46.7275,0.0010,46.7281+,1,,,236311.9,450316,3d9.4p,1P*,1,3d9.7s,"(3/2,1/2)",1,,,L12180,
Ga,3,46.7817,0.0010,46.78144+,50,,,0.00,213760.0,3d10.4s,2S,1/2,3d10.7p,2P*,3/2,,,L12180,
Ga,3,46.7867,0.0010,46.7867+,40,,,0.00,213736,3d10.4s,2S,1/2,3d10.7p,2P*,1/2,,,L12180,
Ga,4,46.8019,0.0010,46.8034+,8,,,233192.3,446852,3d9.4p,1F*,3,3d9.7s,"(5/2,1/2)",2,,,L12180,
Ga,4,46.8187,0.0010,46.8192+,1,,,234939.5,448527,3d9.4p,3D*,3,3d9.6d,"(3/2,5/2)",4,,,L12180,
Ga,4,46.8290,0.0010,46.8297+,6,,,233192.3,446732,3d9.4p,1F*,3,3d9.7s,"(5/2,1/2)",3,,,L12180,
Ga,4,46.8380,0.0010,46.8387+,7,,,236906.5,450405,3d9.4p,3D*,1,3d9.7s,"(3/2,1/2)",2,,,L12180,
Ga,4,46.8580,0.0010,46.8583+,4,,,236906.5,450316,3d9.4p,3D*,1,3d9.7s,"(3/2,1/2)",1,,,L12180,
Ga,4,46.9421,0.0010,46.9423+,12,,,233824.7,446852,3d9.4p,1D*,2,3d9.7s,"(5/2,1/2)",2,,,L12180,
Ga,3,46.9510,0.0010,46.9509+,4,,,65169.40,278158,3d10.4p,2P*,1/2,3d9.(2D).4p2.(3P),4P,3/2,,,L12180,
Ga,4,46.9596,0.0010,46.9600+,11,,,237458.0,450405,3d9.4p,3D*,2,3d9.7s,"(3/2,1/2)",2,,,L12180,
Ga,4,46.9794,0.0010,46.9797+,2,,,237458.0,450316,3d9.4p,3D*,2,3d9.7s,"(3/2,1/2)",1,,,L12180,
Ga,4,47.0241,0.0010,47.0236+,5,,,156024.7,368684,3d9.4s,1D,2,3d9.5p,3P*,2,,,L12180,
Ga,3,47.0451,0.0010,47.0457+,30bl,,,66887.63,279447,3d10.4p,2P*,3/2,3d9.(2D).4p2.(3P),4P,1/2,,,L12180,
Ga,3,47.147,0.010,47.147*,6,,,65169.40,277270,3d10.4p,2P*,1/2,3d9.(2D).4p2.(3P),4F,3/2,,,L12180,
Ga,4,47.1590,0.0010,47.1601+,25,,,233192.3,445236,3d9.4p,1F*,3,3d9.6d,"(5/2,5/2)",4,,,L12180,
Ga,4,47.2082,0.0010,47.2082+,40,,,236906.5,448734,3d9.4p,3D*,1,3d9.6d,"(3/2,5/2)",2,,,L12180,
Ga,4,47.2156,0.0010,47.2160+,45,,,234939.5,446732,3d9.4p,3D*,3,3d9.7s,"(5/2,1/2)",3,,,L12180,
Ga,3,47.216,0.010,47.216*,9*,,,65169.40,276960,3d10.4p,2P*,1/2,3d9.(2D).4p2.(3P),2D,3/2,,,L12180,
Ga,3,47.216,0.010,47.216*,9*,,,66887.63,278680,3d10.4p,2P*,3/2,3d9.(2D).4p2.(3P),2D,5/2,,,L12180,
Ga,4,47.2649,0.0010,47.2646+,30*,,,233192.3,444767,3d9.4p,1F*,3,3d9.6d,"(5/2,3/2)",4,,,L12180,
Ga,4,47.2649,0.0010,47.2645+,30*,,,236906.5,448482,3d9.4p,3D*,1,3d9.6d,"(3/2,3/2)",1,,,L12180,
Ga,4,47.2801,0.0010,47.2800+,10,,,237458.0,448964,3d9.4p,3D*,2,3d9.6d,"(3/2,3/2)",2,,,L12180,
Ga,4,47.2913,0.0010,47.2914+,13,,,237458.0,448913,3d9.4p,3D*,2,3d9.6d,"(3/2,5/2)",3,,,L12180,
Ga,4,47.3003,0.0010,47.3016+,9,,,233824.7,445234,3d9.4p,1D*,2,3d9.6d,"(5/2,5/2)",2,,,L12180,
Ga,4,47.3128,0.0010,47.3108+,10,,,233824.7,445193,3d9.4p,1D*,2,3d9.6d,"(5/2,3/2)",3,,,L12180,
Ga,3,47.3328,0.0010,47.3327+,10,,,66887.63,278158,3d10.4p,2P*,3/2,3d9.(2D).4p2.(3P),4P,3/2,,,L12180,
Ga,4,47.3593,0.0010,47.3591+,2,,,236906.5,448059,3d9.4p,3D*,1,3d9.6d,"(3/2,5/2)",1,,,L12180,
Ga,4,47.4961,0.0010,47.4969+,3,,,236311.9,446852,3d9.4p,1P*,1,3d9.7s,"(5/2,1/2)",2,,,L12180,
Ga,4,47.5521,0.0010,47.5519+,4,,,234939.5,445236,3d9.4p,3D*,3,3d9.6d,"(5/2,5/2)",4,,,L12180,
Ga,4,47.6101,0.0010,47.6101+,1,,,234939.5,444979,3d9.4p,3D*,3,3d9.6d,"(5/2,5/2)",3,,,L12180,
Ga,4,47.6307,0.0010,47.6314+,1,,,236906.5,446852,3d9.4p,3D*,1,3d9.7s,"(5/2,1/2)",2,,,L12180,
Ga,4,47.7832,0.0010,47.7842+,1,,,237458.0,446732,3d9.4p,3D*,2,3d9.7s,"(5/2,1/2)",3,,,L12180,
Ga,3,47.8084,0.0010,47.8084+,6,,,66887.63,276056,3d10.4p,2P*,3/2,3d9.(2D).4p2.(3P),4P,5/2,,,L12180,
Ga,4,47.8642,0.0010,47.8647+,1,,,236311.9,445234,3d9.4p,1P*,1,3d9.6d,"(5/2,5/2)",2,,,L12180,
Ga,3,48.6894,0.0010,48.6896+,3,,,65169.40,270552,3d10.4p,2P*,1/2,3d9.(2D).4p2.(3P),4D,3/2,,,L12180,
