element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ho,2,322.142,,200c,,,,,,,,,,,,,L3475,
Ho,2,323.334,,320,,,,,,,,,,,,,L3475,
Ho,2,323.690,,200,,,,,,,,,,,,,L3475,
Ho,2,323.740,,200,,,,,,,,,,,,,L3475,
Ho,2,325.745,,200c,,,,,,,,,,,,,L3475,
Ho,2,327.815,,390c,,,,,,,,,,,,,L3475,
Ho,2,327.925,,270,,,,,,,,,,,,,L3475,
Ho,2,328.197,,980c,,,,,,,,,,,,,L3475,
Ho,2,328.846,,390,,,,,,,,,,,,,L3475,
Ho,2,329.096,,270c,,,,,,,,,,,,,L3475,
Ho,2,330.516,,200c,,,,,,,,,,,,,L3475,
Ho,2,331.987,,200,,,,,,,,,,,,,L3475,
Ho,2,332.025,,230,,,,,,,,,,,,,L3475,
Ho,2,333.193,,200,,,,,,,,,,,,,L3475,
Ho,2,333.723,,630c,,,,,,,,,,,,,L3475,
Ho,2,333.886,,390c,,,,,,,,,,,,,L3475,
Ho,2,334.358,,980c,,,,,,,,,,,,,L3475,
Ho,2,334.447,,200,,,,,,,,,,,,,L3475,
Ho,2,335.049,,360,,,,,,,,,,,,,L3475,
Ho,2,335.210,,320,,,,,,,,,,,,,L3475,
Ho,2,335.355,,"320c,w",,,,,,,,,,,,,L3475,
Ho,2,335.458,,320,,,,,,,,,,,,,L3475,
Ho,2,335.791,,320,,,,,,,,,,,,,L3475,
Ho,2,336.427,,320,,,,,,,,,,,,,L3475,
Ho,2,337.087,,290,,,,,,,,,,,,,L3475,
Ho,2,337.416,,230,,,,,,,,,,,,,L3475,
Ho,2,339.075,,290c,,,,,,,,,,,,,L3475,
Ho,2,339.460,,320c,,,,,,,,,,,,,L3475,
Ho,2,339.898,339.8953+,8100c,6.35e+07,,0.00,29412.38,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",8,,T7227,L3475,
Ho,2,341.026,,810c,,,,,,,,,,,,,L3475,
Ho,2,341.065,,390c,,,,,,,,,,,,,L3475,
Ho,2,341.490,,1400c,,,,,,,,,,,,,L3475,
Ho,2,341.646,341.6444+,5400,,,637.40,29899.21&dagger;,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",7,,,L3475,
Ho,2,342.163,,1200,,,,,,,,,,,,,L3475,
Ho,2,342.534,,2000c,,,,,,,,,,,,,L3475,
Ho,2,342.813,,2000c,,,,,,,,,,,,,L3475,
Ho,2,342.918,,630c,,,,,,,,,,,,,L3475,
Ho,2,343.210,,320c,,,,,,,,,,,,,L3475,
Ho,1,344.935,,390,,,,,,,,,,,,,L3475,
Ho,2,345.314,345.3112+,3200,,,637.40,29588.49&dagger;,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",6,,,L3475,
Ho,2,345.570,,810c,,,,,,,,,,,,,L3475,
Ho,2,345.600,345.6024+,16000c,,,0.00,28926.70,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",9,,,L3475,
Ho,2,346.197,,1600,,,,,,,,,,,,,L3475,
Ho,2,346.707,,360c,,,,,,,,,,,,,L3475,
Ho,2,347.391,,810c,,,,,,,,,,,,,L3475,
Ho,2,347.426,347.4247+,5400c,4.87e+07,,637.40,29412.38,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",8,,T7227,L3475,
Ho,2,348.484,348.480+,6300,,,637.40,29325.2,4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,,,7 or 8,,,L3475,
Ho,2,348.958,,490,,,,,,,,,,,,,L3475,
