element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,4,264.696,264.698,350*,8.63e+08,C+,516572.0,554339.7,1s2.2s.4f,3F*,4,1s2.2s.5g,3G,5,,T5600c20,L4738,
N,3,268.218,,250w,,,,,,,,,,,,,L3513,
N,3,268.920,268.921,90*,6.60e+06,C+,317779.5,354954.1,2s2.4d,2D,5/2,2s2.6f,2F*,5/2,,T7192LS,L3513,
N,3,268.920,268.921,90*,9.90e+07,C+,317779.5,354954.1,2s2.4d,2D,5/2,2s2.6f,2F*,7/2,,T7192LS,L3513,
N,2,270.984,270.9841,160,2.64e+07,B,174212.03,211103.63,2s2.2p.3p,1D,2,2s2.2p.4d,1F*,3,,T5520,L3513,
N,2,279.922,279.9218,110,1.62e+07,B,174212.03,209925.76,2s2.2p.3p,1D,2,2s2.2p.4d,1D*,2,,T5520,L3513,
N,2,282.364,282.3631,110,2.39e+07,C+,166765.66,202170.63,2s.2p3,1P*,1,2s2.2p.4p,1P,1,,"T5520,T6385",L3513,
N,5,285.916,285.916,60l,2.59e+08,A,678316.5,713281.5,1s2.5p,2P*,3/2,1s2.6d,2D,5/2,,T5118LS,L4829,
N,2,288.527,,160,,,,,,,,,,,,,L3513,
N,5,297.452,,90l,,,,,,,,,,,,,L4829,
N,5,298.078,,150w,,,,,,,,,,,,,L4829,
N,5,298.131,,250w,,,,,,,,,,,,,L4829,
N,5,299.843,,60w,,,,,,,,,,,,,L4829,
N,2,300.683,300.6830,220,9.19e+07,B,164610.76,197858.69,2s2.2p.3p,1P,1,2s2.2p.4s,1P*,1,,"T5520,T6385",L3513,
N,4,307.825,307.827,90,3.91e+08,B,521862.8,554339.1,1s2.2s.4f,1F*,3,1s2.2s.5g,1G,4,,T5600c20,L4738,
N,3,336.734,336.736,120,1.27e+08,B,287706.9,317395.2,2s.2p.(3P*).3s,4P*,5/2,2s.2p.(3P*).3p,4P,5/2,,T7192LS,L3513,
N,2,343.715,343.7145,360,1.91e+08,B+,149187.80,178273.38,2s2.2p.3s,1P*,1,2s2.2p.3p,1S,0,,T7333,L3513,
N,4,346.337,346.336,90,1.02e+08,B,465536.6,494402.0,1s2.2p.(2P*).3s,3P*,2,1s2.2p.(2P*).3p,3P,2,,T5633LS,L4738,
N,4,347.871,347.872,570,1.06e+08,B,377284.8,406022.8,1s2.2s.3s,3S,1,1s2.2s.3p,3P*,2,,"T5633,T2966,LS",L4738,
N,4,348.299,348.300,500,1.06e+08,B,377284.8,405987.5,1s2.2s.3s,3S,1,1s2.2s.3p,3P*,1,,"T5633,T2966,LS",L4738,
N,4,348.496,348.493,400,1.06e+08,B,377284.8,405971.6,1s2.2s.3s,3S,1,1s2.2s.3p,3P*,0,,"T5633,T2966,LS",L4738,
N,4,374.754,374.754,90,9.92e+07,B,473029.3,499705.9,1s2.2p.(2P*<3/2>).3s,1P*,1,1s2.2p.(2P*<3/2>).3p,1D,2,,T5633,L4738,
N,3,375.467,375.469,90,3.78e+07,B,287591.5,314217.3,2s.2p.(3P*).3s,4P*,3/2,2s.2p.(3P*).3p,4S,3/2,,T7192LS,L3513,
N,3,377.105,377.103,120,5.59e+07,B,287706.9,314217.3,2s.2p.(3P*).3s,4P*,5/2,2s.2p.(3P*).3p,4S,3/2,,T7192LS,L3513,
N,2,383.837,383.8374,285,6.98e+07,B,170666.23,196711.54,2s2.2p.3p,3P,2,2s2.2p.4s,3P*,2,,T6385n,L3513,
N,2,391.900,391.9001,360,7.56e+07,B+,164610.76,190120.24,2s2.2p.3p,1P,1,2s2.2p.3d,1P*,1,,T7333,L3513,
N,3,393.852,393.851,90,8.96e+07,B,309185.2,334568.3,2s.2p.(3P*).3p,2P,3/2,2s.2p.(3P*).3d,2D*,5/2,,T7192LS,L3513,
