element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Al,2,1539.5074,1539.5064,0.0010,199hfs,1.73e+07,A,125721.703,132215.517,3s.5p,3P*,2,3s.6s,3S,1,,"T6298c4,LS",L6693c150,
Al,2,1539.5232,1539.506+,0.003,24,,,125721.703,132215.517,3s.5p,3P*,2,3s.6s,3S,1,,,L6693c14,
Al,2,1539.5308,1539.506+,0.003,40,,,125721.703,132215.517,3s.5p,3P*,2,3s.6s,3S,1,,,L6693c14,
Al,2,1539.5467,1539.506+,0.003,14,,,125721.703,132215.517,3s.5p,3P*,2,3s.6s,3S,1,,,L6693c14,
Al,1,1595.6622,1595.665,0.010,3,1.12e+05,C+,38929.413,45194.681,3s2.nd,y 2D,3/2,3s2.6f,2F*,5/2,,"u36,LS",L6693,
Al,1,1596.814,1596.826+,0.004,3,,,38933.968,45194.681,3s2.nd,y 2D,5/2,3s2.6f,2F*,7/2,,,L10321c14,
Al,1,1596.824,1596.826+,0.004,3,,,38933.968,45194.681,3s2.nd,y 2D,5/2,3s2.6f,2F*,7/2,,,L10321c14,
Al,1,1596.825,1596.826,0.010,9hfs,1.20e+05,C+,38933.968,45194.681,3s2.nd,y 2D,5/2,3s2.6f,2F*,7/2,,"u36,LS",L10321c150,
Al,1,1596.837,1596.826+,0.004,3,,,38933.968,45194.681,3s2.nd,y 2D,5/2,3s2.6f,2F*,7/2,,,L10321c14,
Al,2,1624.5924,1624.7+,0.3,2,,,133437.71,139591.1,3s.5f,3F*,2,3s.6g,3G,3,,,L6693c14,
Al,2,1624.6431,1624.7+,0.3,2,,,133437.71,139591.1,3s.5f,3F*,2,3s.6g,3G,3,,,L6693c14,
Al,2,1624.6711,1624.7+,0.3,3,,,133437.71,139591.1,3s.5f,3F*,2,3s.6g,3G,3,,,L6693c14,
Al,2,1624.6919,1624.7+,0.3,3,,,133437.71,139591.1,3s.5f,3F*,2,3s.6g,3G,3,,,L6693c14,
Al,2,1624.7041,1624.7+,0.3,3,,,133437.71,139591.1,3s.5f,3F*,2,3s.6g,3G,3,,,L6693c14,
Al,2,1624.72,1624.68,0.10,29hfs,1.42e+07,A,133437.71,139591.1,3s.5f,3F*,2,3s.6g,3G,3,,"T6298c4,LS",L6693c150,
Al,2,1624.7482,1624.7+,0.3,9,,,133437.71,139591.1,3s.5f,3F*,2,3s.6g,3G,3,,,L6693c14,
Al,2,1624.7701,1624.7+,0.3,5,,,133437.71,139591.1,3s.5f,3F*,2,3s.6g,3G,3,,,L6693c14,
Al,2,1624.7846,1624.7+,0.3,2,,,133437.71,139591.1,3s.5f,3F*,2,3s.6g,3G,3,,,L6693c14,
Al,1,1671.8974,1671.894,0.010,11500,9.89e+06,A,32949.807,38929.413,3s2.4p,2P*,1/2,3s2.nd,y 2D,3/2,,"u36,LS",L6693,
Al,1,1675.0429,1675.053+,0.004,13200,,,32965.639,38933.968,3s2.4p,2P*,3/2,3s2.nd,y 2D,5/2,,,L10321c14,
Al,1,1675.0460,1675.053+,0.004,11500,,,32965.639,38933.968,3s2.4p,2P*,3/2,3s2.nd,y 2D,5/2,,,L10321c14,
Al,1,1675.0520,1675.053,0.010,43600hfs,1.18e+07,A,32965.639,38933.968,3s2.4p,2P*,3/2,3s2.nd,y 2D,5/2,,"u36,LS",L10321c150,
Al,1,1675.0600,1675.053+,0.004,10000,,,32965.639,38933.968,3s2.4p,2P*,3/2,3s2.nd,y 2D,5/2,,,L10321c14,
Al,1,1675.0642,1675.053+,0.004,8900,,,32965.639,38933.968,3s2.4p,2P*,3/2,3s2.nd,y 2D,5/2,,,L10321c14,
Al,1,1676.3369,1676.333,0.010,2300,1.96e+06,B+,32965.639,38929.413,3s2.4p,2P*,3/2,3s2.nd,y 2D,3/2,,"u36,LS",L6693,
Al,2,1691.7181,1691.8+,0.3,15,,,133681.78,139591.1,3s.5f,1F*,3,3s.6g,1G,4,,,L6693c14,
Al,2,1691.771,1691.78,0.10,23hfs,1.71e+07,A,133681.78,139591.1,3s.5f,1F*,3,3s.6g,1G,4,,T6298c4,L6693c150,
Al,2,1691.869,1691.8+,0.3,8,,,133681.78,139591.1,3s.5f,1F*,3,3s.6g,1G,4,,,L6693c14,
Al,2,1741.8770,1742.0+,0.3,9,,,132822.89,138561.8,3s.5d,3D,3,3s.6f,3F*,4,,,L6693c14,
Al,2,1741.9744,1742.0+,0.3,3,,,132822.89,138561.8,3s.5d,3D,3,3s.6f,3F*,4,,,L6693c14,
Al,2,1742.0063,1742.0+,0.3,85,,,132822.89,138561.8,3s.5d,3D,3,3s.6f,3F*,4,,,L6693c14,
Al,2,1742.010,1742.02,0.10,131hfs,1.24e+07,A,132822.89,138561.8,3s.5d,3D,3,3s.6f,3F*,4,,"T6298c4,LS",L6693c150,
