element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ac,2,367.9690,0.0013,367.9686,0.0009,1100h,6.6e+07,C+,35397.115,62565.61,5f.7s,3F*,2,5f.7p,3D,1,,T10463,L7344,
Ac,2,368.3660,0.0006,368.36552,0.00024,6300,4.3e+06,E,4739.631,31878.854,6d.7s,3D,1,6d.7p,1D*,2,,T10463,L7344,
Ac,2,368.5170,0.0013,,,430,,,,,,,,,,,,,L7344,
Ac,2,369.0670,0.0013,,,2100hl,,,,,,,,,,,,,L7344,
Ac,1,369.2360,0.0013,,,100,,,,,,,,,,,,,L7344,
Ac,2,369.4880,0.0006,369.48805,0.00022,24000,1.70e+07,C+,9087.517,36144.291,6d.7s,1D,2,5f.7s,3F*,3,,T10463,L7344,
Ac,1,370.1300,0.0004,370.12988,0.00003,2100,7.e+06,E,0.000,27009.857,6d.7s2,2D,3/2,6d2.(3F).7p,4G*,5/2,,T10463,L7344,
Ac,2,370.4320,0.0006,370.4317,0.0003,1700,,,14949.173,41937.021,6d2,3F,3,6d.7p,1F*,3,,,L7344,
Ac,2,370.9030,0.0006,370.9030,0.0004,510,1.54e+07,C+,35397.115,62350.67,5f.7s,3F*,2,6d.7d,3D,3,,T10463,L7344,
Ac,2,371.0280,0.0013,,,620,,,,,,,,,,,,,L7344,
Ac,2,371.1820,0.0013,371.1825,0.0010,1100h,9.4e+06,D+,33304.935,60238.20,6d.7p,3D*,2,6d.7d,3F,2,,T10463,L7344,
Ac,2,371.3000,0.0013,371.3012,0.0011,1800,3.62e+07,C+,31878.854,58803.51,6d.7p,1D*,2,6d.8s,1D,2,,T10463,L7344,
Ac,2,371.3170,0.0006,371.3170,0.0004,1100h,3.45e+07,C+,32965.512,59889.02,5f.7s,3F*,4,5f.7p,3F,4,,T10463,L7344,
Ac,1,372.5248,0.0004,372.52513,0.00003,110,,,0.000,26836.194,6d.7s2,2D,3/2,6d.7s.(1D).7p,2D*,5/2,,,L7344,
Ac,2,373.4470,0.0006,373.4470,0.0003,760h,3.68e+07,C+,31174.565,57944.517,5f.7s,1F*,3,5f.7p,3F,3,,T10463,L7344,
Ac,1,373.5950,0.0013,,,100,,,,,,,,,,,,,L7344,
Ac,2,373.6550,0.0013,373.6540,0.0008,810h,1.52e+08,C+,41937.021,68692.14,6d.7p,1F*,3,7p2,1D,2,,T10463,L7344,
Ac,2,374.0670,0.0006,374.0677,0.0004,400,2.04e+07,C+,36144.291,62869.82,5f.7s,3F*,3,5f.7p,1G,4,,T10463,L7344,
Ac,2,374.7250,0.0009,374.7256,0.0004,740,,,14949.173,41627.78,6d2,3F,3,5f.6d,1G*,4,,,L7344,
Ac,2,375.4180,0.0006,375.4183,0.0003,2200,3.9e+06,E,14949.173,41578.56,6d2,3F,3,5f.6d,3F*,2,,T10463,L7344,
Ac,2,375.6670,0.0006,375.66770,0.00023,87000c,2.54e+07,C+,5267.147,31878.854,6d.7s,3D,2,6d.7p,1D*,2,,T10463,L7344,
Ac,2,376.1241,0.0006,376.1239,0.0004,2400,1.5e+06,E,20848.198,47427.63,6d2,1G,4,5f.6d,3G*,4,,T10463,L7344,
Ac,1,376.7800,0.0003,,,600,,,,,,,,,,,,,L7344,
Ac,2,376.9820,0.0006,376.9818,0.0003,3200,5.8e+06,D+,16756.847,43275.794,6d2,3F,4,5f.6d,3F*,3,,T10463,L7344,
Ac,2,377.1210,0.0006,377.1207,0.0004,400h,,,31174.565,57683.74,5f.7s,1F*,3,5f.7p,3G,4,,,L7344,
Ac,2,377.1640,0.0013,377.1638,0.0009,2400h,3.15e+07,C+,36144.291,62650.44,5f.7s,3F*,3,6d.7d,3G,4,,T10463,L7344,
Ac,2,377.2144,0.0006,377.2145,0.0004,1300h,4.19e+07,C+,33304.935,59807.52,6d.7p,3D*,2,6d.7d,1F,3,,T10463,L7344,
Ac,2,377.4310,0.0013,,,390,,,,,,,,,,,,,L7344,
Ac,2,377.7799,0.0006,377.7805,0.0004,480h,5.2e+06,E,17737.032,44199.914,6d2,3P,0,7s.7p,1P*,1,,T10463,L7344,
Ac,2,378.4010,0.0013,378.4008,0.0010,1000h,3.35e+07,C+,33304.935,59724.44,6d.7p,3D*,2,7p2,3P,2,,T10463,L7344,
Ac,2,378.8660,0.0013,,,390h,,,,,,,,,,,,,L7344,
Ac,1,379.5860,0.0010,379.58699,0.00003,430,4.e+06,E,2231.432,28568.376,6d.7s2,2D,5/2,6d2.(3F).7p,4G*,7/2,,T10463,L7344,
Ac,2,379.6020,0.0013,379.6022,0.0010,520,1.56e+07,C+,33388.554,59724.44,6d.7p,3D*,1,7p2,3P,2,,T10463,L7344,
Ac,2,379.9819,0.0006,379.9815,0.0003,38000,2.99e+07,C+,9087.517,35397.115,6d.7s,1D,2,5f.7s,3F*,2,,T10463,L7344,
Ac,2,380.5051,0.0006,380.5051,0.0004,2800hl,2.47e+08,C+,39118.975,65392.37,6d.7p,3F*,4,5f.7p,3G,5,,T10463,L7344,
Ac,2,380.9520,0.0013,380.9530,0.0010,1300h,1.03e+08,C+,31878.854,58121.36,6d.7p,1D*,2,7s.7d,3D,2,,T10463,L7344,
Ac,1,381.4360,0.0013,,,730,,,,,,,,,,,,,L7344,
Ac,2,381.4781,0.0006,381.4782,0.0004,960hl,4.52e+07,C+,36144.291,62350.67,5f.7s,3F*,3,6d.7d,3D,3,,T10463,L7344,
Ac,2,383.2720,0.0013,383.2727,0.0006,510,,,29250.366,55334.05,6d.7p,1P*,1,5f.7p,3F,2,,,L7344,
Ac,2,383.4800,0.0013,383.4800,0.0013,3100hl,2.20e+08,C+,35397.115,61466.70?,5f.7s,3F*,2,6d.7d,3G,3,,T10463,L7344,
Ac,1,383.5320,0.0004,383.53206,0.00004,1900,4.78e+07,D+,0.000,26066.045,6d.7s2,2D,3/2,6d.7s.(1D).7p,2P*,3/2,,T10463,L7344,
Ac,1,384.3040,0.0013,384.30400,0.00019,6600,1.58e+08,B,2231.432,28245.12,6d.7s2,2D,5/2,6d.7s.(3D).7p,2P*,3/2,,T10463,L7344,
Ac,2,385.0910,0.0013,385.0914,0.0009,2500hl,8.0e+07,C+,38371.612,64332.11,6d.7p,3P*,2,5f.7p,3D,3,,T10463,L7344,
Ac,2,385.8799,0.0006,385.88042,0.00024,370,,,5267.147,31174.565,6d.7s,3D,2,5f.7s,1F*,3,,,L7344,
Ac,2,386.3119,0.0006,386.3124,0.0003,300000c,7.1e+07,C+,7426.489,33304.935,6d.7s,3D,3,6d.7p,3D*,2,,T10463,L7344,
Ac,2,387.7030,0.0013,387.7035,0.0011,980,6.2e+07,C+,36780.01,62565.61,6d.7p,3P*,0,5f.7p,3D,1,,T10463,L7344,
Ac,2,387.982,0.003,387.9848,0.0006,260h,6.7e+06,C,33304.935,59071.84,6d.7p,3D*,2,5f.7p,1F,3,,T10463,L7344,
Ac,1,388.5559,0.0004,388.55592,0.00006,9000,2.69e+08,B,0.000,25729.03,6d.7s2,2D,3/2,6d.7s.(3D).7p,2P*,1/2,,T10463,L7344,
Ac,2,389.3350,0.0013,389.3352,0.0009,8000hl,2.08e+08,C+,36972.910,62650.44,6d.7p,3D*,3,6d.7d,3G,4,,T10463,L7344,
Ac,2,390.7380,0.0006,390.7380,0.0005,970h,2.75e+07,C+,39807.02,65392.37,5f.6d,3H*,4,5f.7p,3G,5,,T10463,L7344,
Ac,2,391.4470,0.0006,391.4468,0.0003,24000,7.6e+06,C+,7426.489,32965.512,6d.7s,3D,3,5f.7s,3F*,4,,T10463,L7344,
Ac,2,392.0100,0.0006,392.0101,0.0004,6500,2.32e+07,C+,19202.962,44705.290,6d2,3P,2,5f.6d,1D*,2,,T10463,L7344,
Ac,2,392.2730,0.0013,392.2733,0.0011,1400h,3.76e+07,C+,29250.366,54735.58,6d.7p,1P*,1,6d.8s,3D,1,,T10463,L7344,
Ac,2,392.8390,0.0013,392.8388,0.0009,1600hl,7.4e+07,C+,36855.480,62304.01,6d.7p,3P*,1,6d.7d,3D,2,,T10463,L7344,
Ac,1,392.9520,0.0004,392.95221,0.00004,92,5.e+06,E,9217.288,34658.472,6d2.(3F).7s,4F,3/2,6d2.(3F).7p,4D*,5/2,,T10463,L7344,
Ac,2,393.8579,0.0006,393.8587,0.0003,1800h,9.3e+06,C,29250.366,54633.000,6d.7p,1P*,1,6d.8s,3D,2,,T10463,L7344,
Ac,2,394.6590,0.0013,394.6599,0.0009,610h,3.85e+07,C+,36972.910,62304.01,6d.7p,3D*,3,6d.7d,3D,2,,T10463,L7344,
Ac,2,395.1980,0.0013,395.1976,0.0006,2400hl,5.8e+07,C+,31878.854,57175.49,6d.7p,1D*,2,7p2,3P,1,,T10463,L7344,
Ac,2,396.5070,0.0013,396.5065,0.0009,940h,3.11e+07,C+,39118.975,64332.11,6d.7p,3F*,4,5f.7p,3D,3,,T10463,L7344,
Ac,2,397.2490,0.0013,397.2484,0.0008,700h,4.32e+07,C+,39118.975,64285.02,6d.7p,3F*,4,6d.7d,3F,4,,T10463,L7344,
Ac,2,397.7361,0.0006,397.7360,0.0003,13000,1.0e+07,C,13236.418,38371.612,6d2,3F,2,6d.7p,3P*,2,,T10463,L7344,
Ac,2,399.9360,0.0006,399.9357,0.0004,6000hl,1.93e+07,C+,19202.962,44199.914,6d2,3P,2,7s.7p,1P*,1,,T10463,L7344,
Ac,2,400.2230,0.0006,400.2230,0.0004,1700hl,1.89e+07,C+,32965.512,57944.517,5f.7s,3F*,4,5f.7p,3F,3,,T10463,L7344,
Ac,1,400.3790,0.0013,,,52,,,,,,,,,,,,,L7344,
Ac,1,400.4639,0.0004,400.46390,0.00005,360,1.1e+07,D+,10906.027,35870.009,6d2.(3F).7s,4F,7/2,6d2.(3F).7p,4D*,7/2,,T10463,L7344,
Ac,2,400.5470,0.0006,400.5469,0.0005,1500,7.0e+06,C,20848.198,45807.01,6d2,1G,4,5f.6d,3G*,3,,T10463,L7344,
Ac,1,401.5220,0.0013,401.52147,0.00015,370,,,9863.589,34761.82,6d2.(3F).7s,4F,5/2,6d2.(3P).7p,4P*,3/2,,,L7344,
Ac,2,401.9640,0.0012,401.9622,0.0006,8700,1.20e+07,C+,16756.847,41627.78,6d2,3F,4,5f.6d,1G*,4,,T10463,L7344,
Ac,2,402.3090,0.0013,,,770,,,,,,,,,,,,,L7344,
Ac,1,403.1948,0.0004,403.19509,0.00003,510,3.96e+07,B,9863.589,34658.472,6d2.(3F).7s,4F,5/2,6d2.(3F).7p,4D*,5/2,,T10463,L7344,
Ac,1,403.4630,0.0004,403.46290,0.00003,3500,,,2231.432,27009.857,6d.7s2,2D,5/2,6d2.(3F).7p,4G*,5/2,,,L7344,
Ac,2,403.7150,0.0009,403.7139,0.0004,600h,2.18e+07,C+,29881.055,54644.074,6d.7p,3F*,3,5f.7p,3G,3,,T10463,L7344,
Ac,2,403.8930,0.0009,403.8945,0.0003,46h,2.26e+07,C+,29881.055,54633.000,6d.7p,3F*,3,6d.8s,3D,2,,T10463,L7344,
Ac,2,404.4450,0.0009,404.4455,0.0005,300hl,6.0e+07,C+,32965.512,57683.74,5f.7s,3F*,4,5f.7p,3G,4,,T10463,L7344,
Ac,2,405.0060,0.0013,,,340,,,,,,,,,,,,,L7344,
Ac,2,405.3060,0.0012,405.3067,0.0010,290hl,6.6e+07,C+,32965.512,57631.22,5f.7s,3F*,4,6d.8s,3D,3,,T10463,L7344,
Ac,2,405.7360,0.0009,405.7364,0.0004,68h,1.39e+07,C+,33304.935,57944.517,6d.7p,3D*,2,5f.7p,3F,3,,T10463,L7344,
Ac,2,405.8380,0.0013,,,420h,,,,,,,,,,,,,L7344,
Ac,2,406.1600,0.0009,406.1597,0.0003,7900c,1.39e+07,C+,5267.147,29881.055,6d.7s,3D,2,6d.7p,3F*,3,,T10463,L7344,
Ac,1,406.3100,0.0004,406.31064,0.00003,3700,1.24e+08,B,2231.432,26836.194,6d.7s2,2D,5/2,6d.7s.(1D).7p,2D*,5/2,,T10463,L7344,
Ac,2,407.8699,0.0009,407.8693,0.0003,3700,1.09e+07,D+,4739.631,29250.366,6d.7s,3D,1,6d.7p,1P*,1,,T10463,L7344,
Ac,1,408.1040,0.0004,408.10373,0.00005,83,4.e+06,E,9863.589,34360.247,6d2.(3F).7s,4F,5/2,6d2.(1G).7p,2G*,7/2,,T10463,L7344,
Ac,2,408.1770,0.0013,408.1776,0.0010,91h,1.09e+08,C+,44199.914,68692.14,7s.7p,1P*,1,7p2,1D,2,,T10463,L7344,
Ac,1,408.7759,0.0004,408.77617,0.00005,240,3.0e+07,D+,9217.288,33673.650,6d2.(3F).7s,4F,3/2,6d2.(3P).7p,4D*,3/2,,T10463,L7344,
Ac,2,408.8441,0.0009,408.8430,0.0003,38000cs,6.5e+07,C+,7426.489,31878.854,6d.7s,3D,3,6d.7p,1D*,2,,T10463,L7344,
Ac,1,411.3769,0.0004,,,1100,,,,,,,,,,,,,L7344,
Ac,2,411.386,0.003,411.3890,0.0004,130,,,9087.517,33388.554,6d.7s,1D,2,6d.7p,3D*,1,,,L7344,
Ac,2,413.2420,0.0009,413.2422,0.0005,320,8.0e+06,C+,20848.198,45040.26,6d2,1G,4,5f.6d,3F*,4,,T10463,L7344,
Ac,2,413.6219,0.0009,413.6228,0.0004,67,6.9e+05,E,14949.173,39118.975,6d2,3F,3,6d.7p,3F*,4,,T10463,L7344,
Ac,2,413.7990,0.0009,413.7994,0.0007,850hl,3.00e+07,C+,31174.565,55334.05,5f.7s,1F*,3,5f.7p,3F,2,,T10463,L7344,
Ac,1,413.9650,0.0013,,,260c,,,,,,,,,,,,,L7344,
Ac,2,414.4150,0.0009,414.4145,0.0007,150,,,29250.366,53373.99,6d.7p,1P*,1,7s.8s,1S,0,,,L7344,
Ac,2,415.2880,0.0009,415.2889,0.0004,23h,,,19202.962,43275.794,6d2,3P,2,5f.6d,3F*,3,,,L7344,
Ac,2,416.8400,0.0009,416.8407,0.0003,31000cs,7.0e+07,C+,5267.147,29250.366,6d.7s,3D,2,6d.7p,1P*,1,,T10463,L7344,
Ac,2,416.9120,0.0009,416.9130,0.0005,45,3.17e+07,C+,38371.612,62350.67,6d.7p,3P*,2,6d.7d,3D,3,,T10463,L7344,
Ac,1,417.9980,0.0004,417.99772,0.00005,17000,1.24e+08,B,0.000,23916.835,6d.7s2,2D,3/2,6d.7s.(1D).7p,2D*,3/2,,T10463,L7344,
Ac,1,418.3119,0.0004,418.31199,0.00005,6400,9.9e+07,B,0.000,23898.867,6d.7s2,2D,3/2,6d.7s.(3D).7p,2F*,5/2,,T10463,L7344,
Ac,1,418.4170,0.0004,418.41705,0.00005,110,6.e+06,E,9863.589,33756.455,6d2.(3F).7s,4F,5/2,6d2.(3F).7p,2F*,7/2,,T10463,L7344,
Ac,1,418.6050,0.0010,418.60633,0.00009,260,7.e+06,D,10906.027,34788.09,6d2.(3F).7s,4F,7/2,6d2.(3F).7p,4F*,9/2,,T10463,L7344,
Ac,2,418.8080,0.0013,418.8081,0.0007,120hl,9.0e+07,C+,33304.935,57175.49,6d.7p,3D*,2,7p2,3P,1,,T10463,L7344,
Ac,2,418.9750,0.0013,,,3100h,,,,,,,,,,,,,L7344,
Ac,1,419.4399,0.0004,419.43971,0.00005,5300,6.53e+07,B,2231.432,26066.045,6d.7s2,2D,5/2,6d.7s.(1D).7p,2P*,3/2,,T10463,L7344,
Ac,1,419.8721,0.0004,419.87222,0.00005,460,2.0e+07,D+,9863.589,33673.650,6d2.(3F).7s,4F,5/2,6d2.(3P).7p,4D*,3/2,,T10463,L7344,
Ac,1,420.1920,0.0004,420.19199,0.00005,440c,4.84e+07,B,12078.067,35870.009,6d2.(3F).7s,4F,9/2,6d2.(3F).7p,4D*,7/2,,T10463,L7344,
Ac,2,420.2790,0.0013,420.2804,0.0007,34,2.25e+07,C+,33388.554,57175.49,6d.7p,3D*,1,7p2,3P,1,,T10463,L7344,
Ac,1,420.5700,0.0013,,,140,,,,,,,,,,,,,L7344,
Ac,1,420.8910,0.0004,420.89072,0.00005,960,5.33e+07,B,10906.027,34658.472,6d2.(3F).7s,4F,7/2,6d2.(3F).7p,4D*,5/2,,T10463,L7344,
Ac,2,420.9690,0.0009,420.9682,0.0003,3500,1.47e+07,C+,7426.489,31174.565,6d.7s,3D,3,5f.7s,1F*,3,,T10463,L7344,
Ac,1,421.8020,0.0004,421.80204,0.00005,740,1.8e+07,D,9217.288,32918.416,6d2.(3F).7s,4F,3/2,6d2.(3P).7p,2D*,3/2,,T10463,L7344,
Ac,1,422.5990,0.0013,422.59900,0.00023,1000,1.28e+08,B,9217.288,32873.72?,6d2.(3F).7s,4F,3/2,6d2.(3F).7p,4D*,1/2,,T10463,L7344,
Ac,2,423.2670,0.0009,423.2676,0.0003,320,1.20e+07,C,13236.418,36855.480,6d2,3F,2,6d.7p,3P*,1,,T10463,L7344,
Ac,1,423.4610,0.0013,,,190c,,,,,,,,,,,,,L7344,
Ac,1,424.6330,0.0013,,,270,,,,,,,,,,,,,L7344,
Ac,1,424.6780,0.0013,,,140,,,,,,,,,,,,,L7344,
Ac,2,425.7820,0.0015,425.7840,0.0009,770hl,8.6e+07,C+,28201.120,51680.60,7s.7p,3P*,2,7s.8s,3S,1,,T10463,L7344,
Ac,2,425.9650,0.0009,425.9649,0.0004,320h,4.9e+07,C+,31174.565,54644.074,5f.7s,1F*,3,5f.7p,3G,3,,T10463,L7344,
Ac,2,426.1101,0.0009,426.1105,0.0004,180cl,1.7e+05,E,4739.631,28201.120,6d.7s,3D,1,7s.7p,3P*,2,,T10463,L7344,
Ac,2,426.1669,0.0009,426.1659,0.0004,190h,4.52e+07,C+,31174.565,54633.000,5f.7s,1F*,3,6d.8s,3D,2,,T10463,L7344,
Ac,1,426.2420,0.0006,426.24253,0.00005,460,3.48e+07,B,10906.027,34360.247,6d2.(3F).7s,4F,7/2,6d2.(1G).7p,2G*,7/2,,T10463,L7344,
Ac,1,426.6940,0.0013,,,560,,,,,,,,,,,,,L7344,
Ac,2,426.8216,0.0009,426.8209,0.0003,570,1.15e+07,C+,14949.173,38371.612,6d2,3F,3,6d.7p,3P*,2,,T10463,L7344,
Ac,1,429.4620,0.0006,429.46214,0.00006,160,1.3e+07,D+,9217.288,32495.679,6d2.(3F).7s,4F,3/2,6d2.(3F).7p,2F*,5/2,,T10463,L7344,
Ac,2,431.1640,0.0013,431.1637,0.0009,170hl,3.29e+07,C+,33304.935,56491.46,6d.7p,3D*,2,7s.7d,1D,2,,T10463,L7344,
Ac,2,432.7240,0.0013,432.7243,0.0009,73,1.13e+07,C+,33388.554,56491.46,6d.7p,3D*,1,7s.7d,1D,2,,T10463,L7344,
Ac,1,433.6270,0.0006,433.62673,0.00006,240,,,9863.589,32918.416,6d2.(3F).7s,4F,5/2,6d2.(3P).7p,2D*,3/2,,,L7344,
Ac,2,433.7130,0.0009,433.7143,0.0006,470,2.9e+06,D+,16756.847,39807.02,6d2,3F,4,5f.6d,3H*,4,,T10463,L7344,
Ac,1,434.7510,0.0013,,,160c,,,,,,,,,,,,,L7344,
Ac,2,435.9130,0.0009,435.9118,0.0004,7300,1.02e+07,C+,5267.147,28201.120,6d.7s,3D,2,7s.7p,3P*,2,,T10463,L7344,
Ac,2,436.4082,0.0009,436.4085,0.0003,44,,,13236.418,36144.291,6d2,3F,2,5f.7s,3F*,3,,,L7344,
Ac,1,437.5069,0.0010,437.50563,0.00006,320,,,10906.027,33756.455,6d2.(3F).7s,4F,7/2,6d2.(3F).7p,2F*,7/2,,,L7344,
Ac,1,438.4529,0.0010,438.45195,0.00012,4900c,1.9e+07,D+,0.000,22801.11,6d.7s2,2D,3/2,6d.7s.(3D).7p,4P*,5/2,,T10463,L7344,
Ac,2,438.6411,0.0009,438.6400,0.0003,15000,7.1e+07,C+,9087.517,31878.854,6d.7s,1D,2,6d.7p,1D*,2,,T10463,L7344,
Ac,2,439.1430,0.0009,439.1432,0.0004,77,1.16e+07,C+,31878.854,54644.074,6d.7p,1D*,2,5f.7p,3G,3,,T10463,L7344,
Ac,1,439.6710,0.0006,439.67158,0.00006,5800,7.37e+07,B,2231.432,24969.294,6d.7s2,2D,5/2,6d.7s.(3D).7p,2F*,7/2,,T10463,L7344,
Ac,2,439.7451,0.0009,439.7451,0.0004,77,,,19202.962,41937.021,6d2,3P,2,6d.7p,1F*,3,,,L7344,
Ac,1,440.2110,0.0006,440.21056,0.00010,860,2.98e+07,B,12078.067,34788.09,6d2.(3F).7s,4F,9/2,6d2.(3F).7p,4F*,9/2,,T10463,L7344,
Ac,3,441.3090,0.0013,441.3093,0.0012,34000h,1.85e+07,A,800.97,23454.45,6d,2D,3/2,5f,2F*,5/2,,"T9249,T8388",L7344,
Ac,1,441.7259,0.0006,441.72644,0.00008,220,3.33e+07,B,9863.589,32495.679,6d2.(3F).7s,4F,5/2,6d2.(3F).7p,2F*,5/2,,T10463,L7344,
Ac,1,442.0420,0.0013,,,280,,,,,,,,,,,,,L7344,
Ac,1,442.3150,0.0013,,,300,,,,,,,,,,,,,L7344,
Ac,1,442.6851,0.0006,442.68545,0.00008,180,,,9217.288,31800.350,6d2.(3F).7s,4F,3/2,5f.7s2,2F*,5/2,,,L7344,
Ac,2,444.2050,0.0009,444.2040,0.0006,210,1.28e+07,C+,22199.428,44705.290,6d2,1D,2,5f.6d,1D*,2,,T10463,L7344,
Ac,2,445.2191,0.0009,445.2188,0.0003,12000,1.21e+07,C+,7426.489,29881.055,6d.7s,3D,3,6d.7p,3F*,3,,T10463,L7344,
Ac,1,446.1160,0.0013,,,170,,,,,,,,,,,,,L7344,
Ac,1,446.2730,0.0006,446.27307,0.00012,6900,7.16e+07,B,2231.432,24632.95,6d.7s2,2D,5/2,6d.7s.(1D).7p,2F*,7/2,,T10463,L7344,
Ac,2,446.7900,0.0009,446.7900,0.0006,120,1.3e+06,E,19202.962,41578.56,6d2,3P,2,5f.6d,3F*,2,,T10463,L7344,
Ac,2,447.0589,0.0009,447.0592,0.0004,570,6.1e+06,C+,16756.847,39118.975,6d2,3F,4,6d.7p,3F*,4,,T10463,L7344,
Ac,1,447.1811,0.0006,447.18106,0.00008,850,2.68e+07,B,9863.589,32219.622,6d2.(3F).7s,4F,5/2,6d2.(3F).7p,4F*,7/2,,T10463,L7344,
Ac,1,448.6630,0.0006,448.66324,0.00008,160,6.e+06,E,12078.067,34360.247,6d2.(3F).7s,4F,9/2,6d2.(1G).7p,2G*,7/2,,T10463,L7344,
Ac,1,448.7599,0.0006,448.75969,0.00006,450,8.9e+06,D,9217.288,31494.679,6d2.(3F).7s,4F,3/2,6d2.(3F).7p,4F*,5/2,,T10463,L7344,
Ac,2,450.7200,0.0009,450.7194,0.0006,30000cl,2.13e+07,B,0.00,22180.533,7s2,1S,0,7s.7p,3P*,1,,T9296,L7344,
Ac,2,451.1230,0.0009,451.1228,0.0003,240,,,13236.418,35397.115,6d2,3F,2,5f.7s,3F*,2,,,L7344,
Ac,2,452.6271,0.0009,452.6271,0.0003,230c,,,9087.517,31174.565,6d.7s,1D,2,5f.7s,1F*,3,,,L7344,
Ac,2,453.9290,0.0009,453.9283,0.0004,45,,,14949.173,36972.910,6d2,3F,3,6d.7p,3D*,3,,,L7344,
Ac,2,454.4090,0.0009,454.4080,0.0006,1200,5.0e+07,C+,22199.428,44199.914,6d2,1D,2,7s.7p,1P*,1,,T10463,L7344,
Ac,1,455.2180,0.0006,455.21743,0.00008,1000c,3.18e+07,B,10906.027,32867.395,6d2.(3F).7s,4F,7/2,6d2.(1G).7p,2G*,9/2,,T10463,L7344,
Ac,1,455.7281,0.0006,455.72807,0.00008,250,,,9863.589,31800.350,6d2.(3F).7s,4F,5/2,5f.7s2,2F*,5/2,,,L7344,
Ac,3,456.9870,0.0013,456.9870,0.0013,65000h,2.11e+07,B+,4203.89,26080.22,6d,2D,5/2,5f,2F*,7/2,,"T9249,T8388",L7344,
Ac,1,457.8240,0.0013,,,510,,,,,,,,,,,,,L7344,
Ac,2,458.5831,0.0009,458.5823,0.0005,48h,8.5e+06,C+,36144.291,57944.517,5f.7s,3F*,3,5f.7p,3F,3,,T10463,L7344,
Ac,2,460.5451,0.0009,460.5456,0.0004,17000c,2.77e+07,C+,4739.631,26446.928,6d.7s,3D,1,6d.7p,3F*,2,,T10463,L7344,
Ac,1,461.0100,0.0006,461.01055,0.00009,1100,2.4e+07,D+,2231.432,23916.835,6d.7s2,2D,5/2,6d.7s.(1D).7p,2D*,3/2,,T10463,L7344,
Ac,1,461.1590,0.0006,461.15973,0.00009,81,2.12e+07,B,12078.067,33756.455,6d2.(3F).7s,4F,9/2,6d2.(3F).7p,2F*,7/2,,T10463,L7344,
Ac,1,461.3930,0.0006,461.39285,0.00009,4000,1.2e+07,D+,2231.432,23898.867,6d.7s2,2D,5/2,6d.7s.(3D).7p,2F*,5/2,,T10463,L7344,
Ac,1,462.1690,0.0006,462.16811,0.00006,710,1.5e+07,D+,9863.589,31494.679,6d2.(3F).7s,4F,5/2,6d2.(3F).7p,4F*,5/2,,T10463,L7344,
Ac,1,468.2160,0.0006,,,1300c,,,,,,,,,,,,,L7344,
Ac,2,468.4911,0.0009,468.4913,0.0005,110h,1.90e+07,C+,33304.935,54644.074,6d.7p,3D*,2,5f.7p,3G,3,,T10463,L7344,
Ac,1,469.0521,0.0006,469.05284,0.00009,960,2.68e+07,B,10906.027,32219.622,6d2.(3F).7s,4F,7/2,6d2.(3F).7p,4F*,7/2,,T10463,L7344,
Ac,1,469.3290,0.0013,,,240,,,,,,,,,,,,,L7344,
Ac,1,470.5782,0.0006,470.57811,0.00013,2200c,8.43e+07,B,12078.067,33322.58,6d2.(3F).7s,4F,9/2,6d2.(3F).7p,4G*,11/2,,T10463,L7344,
Ac,1,470.7970,0.0013,,,1200c,,,,,,,,,,,,,L7344,
Ac,1,471.6581,0.0006,471.65807,0.00009,6900,3.18e+07,B,0.000,21195.870,6d.7s2,2D,3/2,6d.7s.(1D).7p,2F*,5/2,,T10463,L7344,
Ac,2,471.6741,0.0009,471.6748,0.0003,360,5.1e+06,C+,14949.173,36144.291,6d2,3F,3,5f.7s,3F*,3,,T10463,L7344,
Ac,2,472.0159,0.0009,472.0164,0.0004,19000c,2.46e+07,C+,5267.147,26446.928,6d.7s,3D,2,6d.7p,3F*,2,,T10463,L7344,
Ac,2,474.0510,0.0009,474.0522,0.0005,2600,7.2e+07,C+,20848.198,41937.021,6d2,1G,4,6d.7p,1F*,3,,T10463,L7344,
Ac,1,477.6770,0.0013,,,440c,,,,,,,,,,,,,L7344,
Ac,1,478.6960,0.0013,478.6964,0.0003,320c,5.84e+07,B,13877.59,34761.82,6d2.(3P).7s,4P,5/2,6d2.(3P).7p,4P*,3/2,,T10463,L7344,
Ac,2,480.7831,0.0009,480.7843,0.0003,1700,5.6e+06,C+,9087.517,29881.055,6d.7s,1D,2,6d.7p,3F*,3,,T10463,L7344,
Ac,1,480.8811,0.0006,480.88163,0.00012,530,3.00e+07,B,12078.067,32867.395,6d2.(3F).7s,4F,9/2,6d2.(1G).7p,2G*,9/2,,T10463,L7344,
Ac,2,481.1061,0.0012,481.1072,0.0007,280,5.7e+06,C+,20848.198,41627.78,6d2,1G,4,5f.6d,1G*,4,,T10463,L7344,
Ac,2,481.2221,0.0009,481.2218,0.0005,16000,2.42e+07,C+,7426.489,28201.120,6d.7s,3D,3,7s.7p,3P*,2,,T10463,L7344,
Ac,1,482.5880,0.0013,,,1000,,,,,,,,,,,,,L7344,
