element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ac,2,334.1250,0.0013,334.1258,0.0008,1400hl,5.8e+07,C+,28201.120,58121.36,7s.7p,3P*,2,7s.7d,3D,2,,T10463,L7344,
Ac,2,334.2310,0.0013,,,1400h,,,,,,,,,,,,,L7344,
Ac,2,334.3041,0.0006,334.3039,0.0003,2500h,9.1e+07,C+,32965.512,62869.82,5f.7s,3F*,4,5f.7p,1G,4,,T10463,L7344,
Ac,1,335.0060,0.0013,,,83,,,,,,,,,,,,,L7344,
Ac,2,335.9680,0.0006,335.9688,0.0003,1300,5.1e+06,E,14949.173,44705.290,6d2,3F,3,5f.6d,1D*,2,,T10463,L7344,
Ac,2,336.119,0.003,336.1125,0.0003,2000h,2.42e+07,C+,28201.120,57944.517,7s.7p,3P*,2,5f.7p,3F,3,,T10463,L7344,
Ac,1,338.0960,0.0004,338.095878,0.000023,340,7.e+06,E,2231.432,31800.350,6d.7s2,2D,5/2,5f.7s2,2F*,5/2,,T10463,L7344,
Ac,2,338.3530,0.0006,338.35332,0.00023,69000,3.97e+07,C+,7426.489,36972.910,6d.7s,3D,3,6d.7p,3D*,3,,T10463,L7344,
Ac,2,338.8511,0.0006,338.8509,0.0005,1200,2.3e+07,C,19015.283,48518.32,6d2,3P,1,5f.6d,3D*,1,,T10463,L7344,
Ac,2,338.8850,0.0009,338.8850,0.0006,2500c,1.00e+08,C+,22180.533,51680.60,7s.7p,3P*,1,7s.8s,3S,1,,T10463,L7344,
Ac,1,339.1410,0.0013,,,55,,,,,,,,,,,,,L7344,
Ac,3,339.2780,0.0013,339.2782,0.0010,78000Dh,1.90e+08,A,0.00,29465.88,7s,2S,1/2,7p,2P*,1/2,,"T9249,T8388",L7344,
Ac,2,339.6920,0.0013,339.6907,0.0007,3900hl,8.1e+07,C+,28201.120,57631.22,7s.7p,3P*,2,6d.8s,3D,3,,T10463,L7344,
Ac,2,340.2110,0.0006,340.2102,0.0003,1300h,3.55e+07,C+,32965.512,62350.67,5f.7s,3F*,4,6d.7d,3D,3,,T10463,L7344,
