element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sm,2,332.118,,1200,,,,,,,,,,,,,L3475,
Sm,2,332.377,,340,,,,,,,,,,,,,L3475,
Sm,2,332.526,,340,,,,,,,,,,,,,L3475,
Sm,2,332.548,,170,,,,,,,,,,,,,L3475,
Sm,2,332.788,,340,,,,,,,,,,,,,L3475,
Sm,2,333.364,,170,,,,,,,,,,,,,L3475,
Sm,2,333.612,,170,,,,,,,,,,,,,L3475,
Sm,2,334.058,,850,,,,,,,,,,,,,L3475,
Sm,2,334.349,,240,,,,,,,,,,,,,L3475,
Sm,2,334.364,,110,,,,,,,,,,,,,L3475,
Sm,2,334.435,,240,,,,,,,,,,,,,L3475,
Sm,2,334.730,,170,,,,,,,,,,,,,L3475,
Sm,2,334.868,,240,,,,,,,,,,,,,L3475,
Sm,2,335.088,,220,,,,,,,,,,,,,L3475,
Sm,2,335.418,,410bl,,,,,,,,,,,,,L3475,
Sm,2,335.472,,170,,,,,,,,,,,,,L3475,
Sm,2,336.586,,1200,,,,,,,,,,,,,L3475,
Sm,2,336.727,,150,,,,,,,,,,,,,L3475,
Sm,2,336.857,,340,,,,,,,,,,,,,L3475,
Sm,2,336.946,,340,,,,,,,,,,,,,L3475,
Sm,2,337.059,,170,,,,,,,,,,,,,L3475,
Sm,2,337.121,,340,,,,,,,,,,,,,L3475,
Sm,2,337.648,,150,,,,,,,,,,,,,L3475,
Sm,2,338.240,,1200,,,,,,,,,,,,,L3475,
Sm,2,338.466,,510,,,,,,,,,,,,,L3475,
Sm,2,338.766,,150,,,,,,,,,,,,,L3475,
Sm,2,338.932,,410,,,,,,,,,,,,,L3475,
Sm,2,339.111,,150,,,,,,,,,,,,,L3475,
Sm,2,339.619,,410,,,,,,,,,,,,,L3475,
Sm,2,339.776,,150,,,,,,,,,,,,,L3475,
Sm,2,339.984,,150,,,,,,,,,,,,,L3475,
Sm,2,340.246,,600,,,,,,,,,,,,,L3475,
Sm,2,340.309,,210,,,,,,,,,,,,,L3475,
Sm,2,340.868,,850,,,,,,,,,,,,,L3475,
Sm,2,341.815,,270,,,,,,,,,,,,,L3475,
Sm,2,341.851,,430,,,,,,,,,,,,,L3475,
Sm,2,341.977,,170,,,,,,,,,,,,,L3475,
Sm,2,342.478,,120,,,,,,,,,,,,,L3475,
Sm,2,342.620,,170,,,,,,,,,,,,,L3475,
Sm,2,343.368,,170,,,,,,,,,,,,,L3475,
Sm,2,343.710,,150,,,,,,,,,,,,,L3475,
Sm,2,343.806,,170,,,,,,,,,,,,,L3475,
Sm,2,344.050,,240,,,,,,,,,,,,,L3475,
Sm,2,345.356,,170,,,,,,,,,,,,,L3475,
Sm,2,345.920,,170,,,,,,,,,,,,,L3475,
Sm,2,345.942,,120,,,,,,,,,,,,,L3475,
Sm,2,346.113,,240,,,,,,,,,,,,,L3475,
Sm,2,346.407,,120,,,,,,,,,,,,,L3475,
Sm,2,346.787,,170,,,,,,,,,,,,,L3475,
Sm,2,347.396,,130,,,,,,,,,,,,,L3475,
Sm,2,347.953,,130,,,,,,,,,,,,,L3475,
Sm,2,348.026,,130,,,,,,,,,,,,,L3475,
Sm,2,348.056,,170,,,,,,,,,,,,,L3475,
Sm,2,348.741,,170,,,,,,,,,,,,,L3475,
Sm,2,349.361,,170,,,,,,,,,,,,,L3475,
Sm,2,349.984,,220,,,,,,,,,,,,,L3475,
Sm,2,351.123,,340,,,,,,,,,,,,,L3475,
Sm,2,353.060,,310,,,,,,,,,,,,,L3475,
Sm,2,353.257,,220,,,,,,,,,,,,,L3475,
Sm,2,353.565,,270,,,,,,,,,,,,,L3475,
Sm,2,355.415,,240,,,,,,,,,,,,,L3475,
Sm,2,355.910,,510,,,,,,,,,,,,,L3475,
Sm,2,356.684,,220,,,,,,,,,,,,,L3475,
Sm,2,356.827,356.8271+,4200,6.4e+07,,3909.62,31926.40,4f6.(7F).6s,8F,13/2,4f5.5d.6s?,*,15/2,,T7227,L3475,
Sm,2,357.779,,270,,,,,,,,,,,,,L3475,
Sm,2,358.094,,390,,,,,,,,,,,,,L3475,
Sm,2,358.339,,310,,,,,,,,,,,,,L3475,
Sm,2,359.260,359.2595+,4200,6.6e+07,,3052.65,30879.74,4f6.(7F).6s,8F,11/2,4f5.5d.6s?,*,13/2,,T7227,L3475,
Sm,2,360.169,,340,,,,,,,,,,,,,L3475,
Sm,2,360.428,,1700,,,,,,,,,,,,,L3475,
Sm,2,360.949,360.9492+,3400,5.8e+07,,2237.97,29934.80,4f6.(7F).6s,8F,9/2,4f5.5d.6s?,*,11/2,,T7227,L3475,
