element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Hg,2,110.5878,0.0005,110.58742,0.00010,50,3.8e+07,,51486.070,141912.265,5d10.6p,2P*,1/2,5d10.11s,2S,1/2,,T7226,L11760,
Hg,2,112.2335,0.0005,112.23323,0.00010,8,2.0e+07,,35514.624,124614.794,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,,T7226,L11760,
Hg,1,112.660,0.010,112.6639,0.0003,"100H,s",,,0.000,88759.6,5d10.6s2,1S,0,5d9.6s2.(2D<3/2>).6p,2[1/2]*,1,,,L15166c86,
Hg,2,112.8046,0.0004,,,40,,,,,,,,,,,,,L11760,
Hg,2,113.7700,0.0005,113.76988,0.00010,15,3.2e+06,,35514.624,123411.351,5d9.6s2,2D,5/2,5d10.5f,2F*,5/2,,T7226,L11760,
Hg,2,114.1042,0.0004,114.10425,0.00010,15,9.2e+06,,35514.624,123153.775,5d9.6s2,2D,5/2,5d10.5f,2F*,7/2,,T7226,L11760,
Hg,2,115.6795,0.0004,115.67945,0.00010,90,2.3e+07,,35514.624,121960.399,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",5/2,,T7226,L11760,
Hg,2,116.0382,0.0004,116.03825,0.00010,900,7.8e+07,,0.000,86178.478,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,,T7226,L11760,
Hg,3,116.195,0.010,,,2,,,,,,,,,,,,,L3332,
Hg,2,116.2197,0.0004,116.21974,0.00010,5,4.7e+07,,60608.362,146652.263,5d10.6p,2P*,3/2,5d9.6p2,"(2D<5/2>,3P<0>)",5/2,,T7226,L11760,
Hg,2,120.3706,0.0004,120.37057,0.00010,50,9.0e+07,,51486.070,134562.854,5d10.6p,2P*,1/2,5d10.8d,2D,3/2,,T7226,L11760,
Hg,2,123.3433,0.0004,123.34338,0.00010,60,4.6e+07,,51486.070,132560.550,5d10.6p,2P*,1/2,5d10.9s,2S,1/2,,T7226,L11760,
Hg,1,125.0567,0.0003,125.05651,0.00020,200,,,0.000,79963.85,5d10.6s2,1S,0,5d10.6s.9p,1P*,1,,,L13012,
