element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Dy,2,316.999,,1000,,,,,,,,,,,,,L3475,
Dy,2,317.789,,400,,,,,,,,,,,,,L3475,
Dy,2,317.837,,220,,,,,,,,,,,,,L3475,
Dy,2,318.479,,200,,,,,,,,,,,,,L3475,
Dy,2,318.638,,330,,,,,,,,,,,,,L3475,
Dy,2,318.768,,240,,,,,,,,,,,,,L3475,
Dy,2,319.330,,330,,,,,,,,,,,,,L3475,
Dy,2,320.640,,240,,,,,,,,,,,,,L3475,
Dy,2,320.712,,220,,,,,,,,,,,,,L3475,
Dy,2,320.885,,290,,,,,,,,,,,,,L3475,
Dy,2,321.519,,470,,,,,,,,,,,,,L3475,
Dy,2,321.663,,830,,,,,,,,,,,,,L3475,
Dy,2,322.149,,240,,,,,,,,,,,,,L3475,
Dy,2,322.328,,290,,,,,,,,,,,,,L3475,
Dy,2,322.508,,240,,,,,,,,,,,,,L3475,
Dy,2,322.595,,330,,,,,,,,,,,,,L3475,
Dy,2,323.589,,490,,,,,,,,,,,,,L3475,
Dy,2,323.669,,290,,,,,,,,,,,,,L3475,
Dy,2,324.512,,490,,,,,,,,,,,,,L3475,
Dy,2,324.836,,200,,,,,,,,,,,,,L3475,
Dy,2,325.127,,1200,,,,,,,,,,,,,L3475,
Dy,2,325.219,,200,,,,,,,,,,,,,L3475,
Dy,2,325.626,,290,,,,,,,,,,,,,L3475,
Dy,1,326.3186,326.3185+,3000,1.4e+07,D,4134.222,34770.30,4f10.6s2,5I,7,,*,6,,T4515,L1177,
Dy,2,326.621,,200,,,,,,,,,,,,,L3475,
Dy,2,326.911,,240,,,,,,,,,,,,,L3475,
Dy,2,327.273,,200,,,,,,,,,,,,,L3475,
Dy,2,328.009,,890,,,,,,,,,,,,,L3475,
Dy,2,328.277,,490,,,,,,,,,,,,,L3475,
Dy,2,328.794,,200,,,,,,,,,,,,,L3475,
Dy,2,329.388,,200,,,,,,,,,,,,,L3475,
Dy,2,329.630,,200,,,,,,,,,,,,,L3475,
Dy,2,330.540,,200,,,,,,,,,,,,,L3475,
Dy,2,330.551,,200,,,,,,,,,,,,,L3475,
Dy,2,330.619,,240,,,,,,,,,,,,,L3475,
Dy,2,330.879,,440,,,,,,,,,,,,,L3475,
Dy,2,330.888,,1100,,,,,,,,,,,,,L3475,
Dy,2,331.272,,510,,,,,,,,,,,,,L3475,
Dy,2,331.632,,780,,,,,,,,,,,,,L3475,
Dy,2,331.712,,240,,,,,,,,,,,,,L3475,
Dy,2,331.988,,1000,,,,,,,,,,,,,L3475,
Dy,2,332.619,,270,,,,,,,,,,,,,L3475,
Dy,2,334.100,,780,,,,,,,,,,,,,L3475,
Dy,2,334.188,,270,,,,,,,,,,,,,L3475,
Dy,2,334.783,,200,,,,,,,,,,,,,L3475,
Dy,2,335.269,,270,,,,,,,,,,,,,L3475,
Dy,2,335.358,,510,,,,,,,,,,,,,L3475,
Dy,2,335.946,,240,,,,,,,,,,,,,L3475,
Dy,2,336.811,,510,,,,,,,,,,,,,L3475,
Dy,2,338.502,338.50140+,5300,5.39e+07,,828.314,30361.810,4f10.(5I<8>).6s<1/2>,"(8,1/2)",15/2,4f10.(5I).6p,4H*,13/2,,,L3475,
Dy,2,338.657,,210,,,,,,,,,,,,,L3475,
Dy,2,338.885,,610,,,,,,,,,,,,,L3475,
Dy,2,339.196,,210,,,,,,,,,,,,,L3475,
Dy,2,339.357,,3800,,,,,,,,,,,,,L3475,
Dy,2,339.616,,1300,,,,,,,,,,,,,L3475,
Dy,2,340.716,,380,,,,,,,,,,,,,L3475,
Dy,2,340.780,340.77925+,5300,4.88e+07,,0.000,29336.093,4f10.(5I<8>).6s<1/2>,"(8,1/2)",17/2,4f10.(5I).6p,6I*,17/2,,T7148,L3475,
Dy,2,340.814,,420,,,,,,,,,,,,,L3475,
Dy,2,341.378,,1300,,,,,,,,,,,,,L3475,
Dy,2,341.482,,530,,,,,,,,,,,,,L3475,
Dy,2,341.963,,780,,,,,,,,,,,,,L3475,
Dy,2,342.506,,530,,,,,,,,,,,,,L3475,
Dy,2,342.944,,420,,,,,,,,,,,,,L3475,
Dy,2,343.437,,1900,,,,,,,,,,,,,L3475,
Dy,2,343.894,,330,,,,,,,,,,,,,L3475,
Dy,2,344.093,,560,,,,,,,,,,,,,L3475,
Dy,2,344.145,,1300,,,,,,,,,,,,,L3475,
Dy,2,344.557,,3800,,,,,,,,,,,,,L3475,
Dy,2,344.699,,830,,,,,,,,,,,,,L3475,
Dy,2,344.989,,440,,,,,,,,,,,,,L3475,
Dy,2,345.432,,2700,,,,,,,,,,,,,L3475,
Dy,2,345.451,,440,,,,,,,,,,,,,L3475,
Dy,2,345.656,,1300,,,,,,,,,,,,,L3475,
Dy,2,346.097,346.09661+,4400,2.97e+07,,0.000,28885.393,4f10.(5I<8>).6s<1/2>,"(8,1/2)",17/2,4f10.(5I).6p,*,15/2,,T7148,L3475,
Dy,2,346.843,,720,,,,,,,,,,,,,L3475,
Dy,2,347.114,,560,,,,,,,,,,,,,L3475,
Dy,2,347.153,,560bl,,,,,,,,,,,,,L3475,
Dy,2,347.370,,380,,,,,,,,,,,,,L3475,
Dy,2,347.707,,1300,,,,,,,,,,,,,L3475,
Dy,2,349.449,349.44896+,4400,3.15e+07,,828.314,29436.610,4f10.(5I<8>).6s<1/2>,"(8,1/2)",15/2,4f10.(5I).6p,*,15/2,,T7148,L3475,
Dy,2,349.634,,560,,,,,,,,,,,,,L3475,
Dy,2,349.781,,400,,,,,,,,,,,,,L3475,
Dy,2,349.871,,830,,,,,,,,,,,,,L3475,
Dy,2,350.150,,400,,,,,,,,,,,,,L3475,
Dy,2,350.453,,830,,,,,,,,,,,,,L3475,
