element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Er,3,283.034,,150,,,,,,,,,,,,,L1925,
Er,3,283.195,,1,,,,,,,,,,,,,L1925,
Er,3,283.303,,8,,,,,,,,,,,,,L1925,
Er,2,283.391,,270bl,,,,,,,,,,,,,L3475,
Er,2,283.871,,390,,,,,,,,,,,,,L3475,
Er,3,284.529,,8,,,,,,,,,,,,,L1925,
Er,3,284.608,,60,,,,,,,,,,,,,L1925,
Er,2,284.837,,270,,,,,,,,,,,,,L3475,
Er,3,284.963,,6,,,,,,,,,,,,,L1925,
Er,2,285.541,,250,,,,,,,,,,,,,L3475,
Er,2,285.984,,310,,,,,,,,,,,,,L3475,
Er,3,286.952,,1,,,,,,,,,,,,,L1925,
Er,3,287.824,,8,,,,,,,,,,,,,L1925,
Er,2,289.696,,310,,,,,,,,,,,,,L3475,
Er,2,289.752,,390,,,,,,,,,,,,,L3475,
Er,2,290.447,,1000,,,,,,,,,,,,,L3475,
Er,2,290.958,,210,,,,,,,,,,,,,L3475,
Er,2,291.036,,1500,,,,,,,,,,,,,L3475,
Er,2,291.562,,270,,,,,,,,,,,,,L3475,
Er,2,292.927,,350,,,,,,,,,,,,,L3475,
Er,2,294.528,,270,,,,,,,,,,,,,L3475,
Er,2,294.662,,230,,,,,,,,,,,,,L3475,
Er,3,295.593,,1,,,,,,,,,,,,,L1925,
Er,3,295.863,,1,,,,,,,,,,,,,L1925,
Er,2,296.452,,1500,,,,,,,,,,,,,L3475,
Er,2,296.876,,410,,,,,,,,,,,,,L3475,
Er,2,297.447,,210,,,,,,,,,,,,,L3475,
Er,2,297.568,,230,,,,,,,,,,,,,L3475,
Er,2,298.380,,270,,,,,,,,,,,,,L3475,
Er,2,300.241,,1200,,,,,,,,,,,,,L3475,
Er,2,300.265,,310,,,,,,,,,,,,,L3475,
Er,2,301.247,,230,,,,,,,,,,,,,L3475,
Er,2,301.684,,230,,,,,,,,,,,,,L3475,
Er,2,302.595,,290,,,,,,,,,,,,,L3475,
Er,2,302.827,,270,,,,,,,,,,,,,L3475,
Er,2,303.131,,370,,,,,,,,,,,,,L3475,
Er,2,303.622,,310,,,,,,,,,,,,,L3475,
Er,2,305.442,,210,,,,,,,,,,,,,L3475,
Er,3,305.510,,1000,,,,,,,,,,,,,L1925,
Er,2,306.622,,230,,,,,,,,,,,,,L3475,
Er,3,307.040,,1000,,,,,,,,,,,,,L1925,
Er,2,307.074,,450,,,,,,,,,,,,,L3475,
Er,2,307.253,,560,,,,,,,,,,,,,L3475,
Er,2,307.334,,610,,,,,,,,,,,,,L3475,
Er,2,307.887,,210,,,,,,,,,,,,,L3475,
Er,2,308.208,,720,,,,,,,,,,,,,L3475,
