element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Cm,1,1031.083,,10000,,,,,,,L3587,
Cm,1,1035.173,,10000,,,,,,,L3587,
Cm,1,1042.449,,10000,,,,,,,L3587,
Cm,1,1050.811,,10000,,,,,,,L3587,
Cm,1,1054.298,,10000,,,,,,,L3587,
Cm,1,1079.225,,10000,,,,,,,L3587,
Cm,1,1089.745,,10000,,,,,,,L3587,
Cm,1,1150.745,,10000,,,,,,,L3919,
Cm,1,1170.773,,10000,,,,,,,L3919,
Cm,1,1178.095,,10000,,,,,,,L3919,
Cm,1,1183.428,,10000,,,,,,,L3919,
Cm,1,1201.785,,10000,,,,,,,L3919,
Cm,1,1239.416,,10000,,,,,,,L3919,
Cm,1,1245.498,,10000,,,,,,,L3919,
Cm,1,1246.499,,10000,,,,,,,L3919,
Cm,1,1300.456,,10000,,,,,,,L3919,
Cm,1,1325.818,,10000,,,,,,,L3919,
Cm,1,1328.984,,10000,,,,,,,L3919,
Cm,1,1334.462,,10000,,,,,,,L3919,
Cm,1,1348.054,,10000,,,,,,,L3919,
Cm,1,1359.001,,10000,,,,,,,L3919,
Cm,1,1364.477,,10000,,,,,,,L3919,
Cm,1,1378.952,,10000,,,,,,,L3919,
Cm,1,1384.018,,10000,,,,,,,L3919,
Cm,1,1390.846,,10000,,,,,,,L3919,
Cm,1,1396.414,,10000,,,,,,,L3919,
Cm,1,1423.527,,10000,,,,,,,L3919,
Cm,1,1433.452,,10000,,,,,,,L3919,
Cm,1,1456.341,,10000,,,,,,,L3919,
Cm,1,1458.023,,10000,,,,,,,L3919,
Cm,1,1501.813,,10000,,,,,,,L3919,
Cm,1,1522.227,,10000,,,,,,,L3919,
Cm,1,1564.259,,10000,,,,,,,L3919,
Cm,1,1575.723,,10000,,,,,,,L3919,
Cm,1,1579.331,,10000,,,,,,,L3919,
Cm,1,1600.841,,10000,,,,,,,L3919,
Cm,1,1714.822,,10000,,,,,,,L3919,
Cm,1,1745.318,,10000,,,,,,,L3919,
Cm,1,1761.928,,10000,,,,,,,L3919,
Cm,1,1806.902,,10000,,,,,,,L3919,
Cm,1,1957.262,,10000,,,,,,,L3919,
Cm,1,1997.598,,10000,,,,,,,L3587,
element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Cm,1,2053.192,,10000,,,,,,,L3919,
Cm,1,2085.918,,10000,,,,,,,L3919,
Cm,1,2091.723,,10000,,,,,,,L3919,
Cm,1,2097.383,,10000,,,,,,,L3919,
Cm,1,2124.686,,10000,,,,,,,L3919,
Cm,1,2139.907,,10000,,,,,,,L3919,

