element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Bk,1,432.958,,10000l,,,,,,,L4703,
Bk,1,435.150,,10000,,,,,,,L4703,
Bk,1,436.364,,10000,,,,,,,L4703,
Bk,1,442.301,,10000,,,,,,,L4703,
Bk,1,446.646,,10000,,,,,,,L4703,
Bk,1,505.673,,10000s,,,,,,,L4703,
Bk,1,511.824,,10000l,,,,,,,L4703,
Bk,2,513.553,,10000s,,,,,,,L4703,
Bk,1,517.061,,10000,,,,,,,L4703,
Bk,1,519.755,,10000,,,,,,,L4703,
Bk,1,521.253,,10000,,,,,,,L4703,
Bk,1,527.195,,10000,,,,,,,L4703,
Bk,1,539.203,,10000,,,,,,,L4703,
Bk,1,539.424,,10000,,,,,,,L4703,
Bk,1,540.462,,10000l,,,,,,,L4703,
Bk,1,544.963,,10000,,,,,,,L4703,
Bk,1,546.747,,10000l,,,,,,,L4703,
Bk,1,548.458,,10000s,,,,,,,L4703,
Bk,2,551.222,,10000,,,,,,,L4703,
Bk,1,553.793,,10000l,,,,,,,L4703,
Bk,1,555.680,,10000l,,,,,,,L4703,
Bk,1,555.709,,10000s,,,,,,,L4703,
Bk,1,558.121,,10000,,,,,,,L4703,
Bk,1,565.654,,10000l,,,,,,,L4703,
Bk,1,565.903,,10000,,,,,,,L4703,
Bk,1,570.224,,10000,,,,,,,L4703,
Bk,1,591.071,,10000,,,,,,,L4703,
Bk,1,704.085,,10000l,,,,,,,L4703,
Bk,1,710.785,,10000,,,,,,,L4703,
Bk,1,717.622,,10000l,,,,,,,L4703,
Bk,1,725.250,,10000,,,,,,,L4703,
Bk,1,725.721,,10000l,,,,,,,L4703,
Bk,1,730.694,,10000,,,,,,,L4703,
Bk,1,751.126,,10000l,,,,,,,L4703,
Bk,1,755.112,,10000,,,,,,,L4703,
Bk,1,757.977,,10000,,,,,,,L4703,
Bk,1,772.993,,10000l,,,,,,,L4703,
Bk,1,790.390,,10000s,,,,,,,L4703,
Bk,1,931.930,,10000s,,,,,,,L4703,
Bk,1,942.913,,10000s,,,,,,,L3610,
Bk,1,980.118,,10000l,,,,,,,L3610,
Bk,2,986.239,,10000l,,,,,,,L3610,
Bk,1,987.929,,10000l,,,,,,,L3610,
Bk,1,989.238,,10000l,,,,,,,L3610,
Bk,1,1012.620,,10000,,,,,,,L3610,
Bk,1,1018.658,,10000l,,,,,,,L3610,
Bk,1,1029.244,,10000,,,,,,,L3610,
Bk,1,1052.771,,10000l,,,,,,,L3610,
Bk,1,1057.053,,10000l,,,,,,,L3610,
Bk,1,1129.314,,10000l,,,,,,,L3610,
Bk,1,1150.030,,10000l,,,,,,,L3610,
Bk,1,1157.534,,10000s,,,,,,,L3610,
Bk,1,1179.309,,10000s,,,,,,,L3610,
Bk,1,1215.905,,10000s,,,,,,,L3610,
Bk,1,1306.113,,10000,,,,,,,L3610,
Bk,1,1349.836,,10000,,,,,,,L3610,
Bk,1,1419.693,,10000s,,,,,,,L3610,
Bk,1,1513.610,,10000,,,,,,,L3610,
Bk,1,1927.387,,10000l,,,,,,,L3610,
Bk,1,1965.322,,10000s,,,,,,,L3610,
element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,
Bk,1,2390.937,,10000s,,,,,,,L3610,
Bk,1,2419.922,,10000s,,,,,,,L3610,

