element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Si,1,187.581,,100,,,,,,,,,,,,,L3521,
Si,1,188.185,188.1854,200,5.00e+06,D+,223.157,53362.24,3s2.3p2,3P,2,3s2.3p.3d,1F*,3,,T5814,L3521,
Si,1,188.770,,200,,,,,,,,,,,,,L3521,
Si,1,189.325,,200w,,,,,,,,,,,,,L3521,
Si,1,190.133,190.1338,1000w,1.00e+08,C,6298.850,58893.40,3s2.3p2,1D,2,3s2.3p.4d,1F*,3,,T5071,L3521,
Si,2,190.246,,100w,,,,,,,,,,,,,L3541,
Si,1,190.466,190.4665,50w,4.87e+06,D,6298.850,58801.529,3s2.3p2,1D,2,3s2.3p.4d,1P*,1,,T5071,L3521,
Si,2,191.062,,50w,,,,,,,,,,,,,L3541,
Si,2,194.167,,50,,,,,,,,,,,,,L3541,
Si,2,194.459,,15,,,,,,,,,,,,,L3541,
Si,2,194.933,,10,,,,,,,,,,,,,L3541,
Si,2,194.956,,100,,,,,,,,,,,,,L3541,
Si,1,195.497,,100,,,,,,,,,,,,,L3521,
Si,1,198.443,,30,,,,,,,,,,,,,L3521,
Si,1,199.185,,50,,,,,,,,,,,,,L3521,
Si,1,201.097,,30,,,,,,,,,,,,,L3521,
Si,1,205.483,,50,,,,,,,,,,,,,L3521,
Si,2,205.865,,50,,,,,,,,,,,,,L3541,
Si,2,205.901,,50,,,,,,,,,,,,,L3541,
Si,1,206.119,,40,,,,,,,,,,,,,L3521,
Si,1,206.552,,30,,,,,,,,,,,,,L3521,
Si,2,207.202,207.2015,200,9.6e+07,D,55309.35,103556.16,3s.3p2,2D,3/2,3s2.4f,2F*,5/2,,"T6527c4,LS",L3541,
Si,2,207.270,207.2700,200,1.0e+08,D,55325.18,103556.03,3s.3p2,2D,5/2,3s2.4f,2F*,7/2,,"T6527c4,LS",L3541,
Si,1,210.321,,30w,,,,,,,,,,,,,L3521,
Si,1,211.463,,30,,,,,,,,,,,,,L3521,
Si,4,212.018,212.0171,3,3.06e+08,A+,218266.86,265417.95,2p6.4p,2P*,1/2,2p6.5s,2S,1/2,,c33,L6098,
Si,1,212.412,212.4122,100,2.97e+08,B,6298.850,53362.24,3s2.3p2,1D,2,3s2.3p.3d,1F*,3,,T5814,L3521,
Si,4,212.747,212.7473,4,6.14e+08,A+,218428.67,265417.95,2p6.4p,2P*,3/2,2p6.5s,2S,1/2,,c33,L6098,
Si,2,213.399,,10w,,,,,,,,,,,,,L3541,
Si,2,213.640,,30w,,,,,,,,,,,,,L3541,
Si,2,213.656,,50w,,,,,,,,,,,,,L3541,
Si,1,214.791,,50w,,,,,,,,,,,,,L3521,
Si,3,217.689,217.6901,5,1.80e+08,B,199164.10,245086.58,3p.3d,3F*,4,3p.4p,3D,3,,"T6298c4,LS",L4833,
