element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Pm,2,391.910,,1000,,,,,,,,,,,,,u8,
Pm,2,393.648,393.6472+,800,,,1983.52,27379.79,4f5.(6H*).6s,7H*,5,,,6,,,u8,
Pm,2,394.421,,300,,,,,,,,,,,,,u8,
Pm,1,395.476,,300r,,,,,,,,,,,,,L4514c1,
Pm,2,395.774,,1000,,,,,,,,,,,,,u8,
Pm,2,398.074,,500,,,,,,,,,,,,,u8,
Pm,2,399.505,,300,,,,,,,,,,,,,u8,
Pm,2,399.896,399.8962+,1000r,,,1133.45,26132.87,4f5.(6H*).6s,7H*,4,,,5,,,u8,
Pm,2,400.996,,500,,,,,,,,,,,,,u8,
Pm,2,401.272,,200,,,,,,,,,,,,,u8,
Pm,2,401.420,,250,,,,,,,,,,,,,u8,
Pm,2,401.934,,200,,,,,,,,,,,,,u8,
Pm,2,402.820,,250,,,,,,,,,,,,,u8,
Pm,2,404.536,,200,,,,,,,,,,,,,u8,
Pm,2,405.154,,300,,,,,,,,,,,,,u8,
Pm,2,405.520,,600r,,,,,,,,,,,,,u8,
Pm,1,405.656,,200r,,,,,,,,,,,,,L4514c1,
Pm,2,407.584,407.5841+,600,,,0.00,24527.89,4f5.(6H*).6s,7H*,2,,,3,,,u8,
Pm,1,408.531,,200r,,,,,,,,,,,,,L4514c1,
Pm,2,408.610,408.6098+,500,,,0.00,24466.32,4f5.(6H*).6s,7H*,2,,,3,,,u8,
Pm,2,414.046,,250,,,,,,,,,,,,,u8,
Pm,2,418.574,,200,,,,,,,,,,,,,u8,
Pm,2,419.292,,300,,,,,,,,,,,,,u8,
Pm,2,419.470,,200,,,,,,,,,,,,,u8,
Pm,2,422.215,,200,,,,,,,,,,,,,u8,
Pm,1,426.432,,300r,,,,,,,,,,,,,L4514c1,
Pm,1,428.437,,300r,,,,,,,,,,,,,L4514c1,
Pm,2,429.778,429.778+,600,,,0.00,23261.30,4f5.(6H*).6s,7H*,2,,,3,,,u8,
Pm,2,430.389,,200,,,,,,,,,,,,,u8,
Pm,1,430.564,,200r,,,,,,,,,,,,,L4514c1,
Pm,1,431.880,,400,,,,,,,,,,,,,L4514c1,
