element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
F,5,270.396,0.010,,10,,,,,,,,,,,,,L3494,
F,5,270.717,0.010,,20,,,,,,,,,,,,,L3494,
F,3,275.555,0.010,,130,,,,,,,,,,,,,L767,
F,3,275.963,0.010,,160,,,,,,,,,,,,,L767,
F,3,278.815,0.010,,120,,,,,,,,,,,,,L767,
F,3,281.145,0.010,,160,,,,,,,,,,,,,L767,
F,4,282.074,0.010,,40,,,,,,,,,,,,,L3494,
F,4,282.613,0.010,,50,,,,,,,,,,,,,L3494,
F,3,283.399,0.010,,140,,,,,,,,,,,,,L767,
F,3,283.563,0.010,,150,,,,,,,,,,,,,L767,
F,3,286.033,0.010,,150,,,,,,,,,,,,,L767,
F,3,286.286,0.010,,120,,,,,,,,,,,,,L767,
F,2,287.140,0.010,,100,,,,,,,,,,,,,L369,
F,3,288.758,0.010,,140,,,,,,,,,,,,,L767,
F,3,288.945,0.010,,150,,,,,,,,,,,,,L767,
F,3,290.530,0.010,,120,,,,,,,,,,,,,L767,
F,3,291.329,0.010,,140,,,,,,,,,,,,,L767,
F,3,291.634,0.010,,160,,,,,,,,,,,,,L767,
F,3,293.249,0.010,,140,,,,,,,,,,,,,L767,
F,3,299.428,0.010,,140,,,,,,,,,,,,,L767,
F,3,299.721,0.010,,120w,,,,,,,,,,,,,L767,
F,3,299.753,0.010,,130,,,,,,,,,,,,,L767,
F,3,299.947,0.010,,120,,,,,,,,,,,,,L767,
F,3,303.925,0.010,303.9245,130,2.75e+08,C,380250.52,413143.86,2s2.2p2.(1D).3p,2D*,5/2,2s2.2p2.(1D).3d,2F,7/2,,"T1115CA,LS",L767,
F,3,303.975,0.010,303.9750,120,2.56e+08,C,380307.13,413195.00,2s2.2p2.(1D).3p,2D*,3/2,2s2.2p2.(1D).3d,2F,5/2,,"T1115CA,LS",L767,
F,3,304.280,0.010,,160,,,,,,,,,,,,,L767,
F,3,304.914,0.010,,150,,,,,,,,,,,,,L767,
F,2,305.999,0.010,,120,,,,,,,,,,,,,L369,
F,3,311.362,0.010,311.3606,140,6.7e+07,D,316709.81,348817.60,2s2.2p2.(3P).3s,4P,1/2,2s2.2p2.(3P).3p,4D*,3/2,,"T1115CA,LS",L767,
F,3,311.570,0.010,311.5695,160,1.1e+08,D,316920.99,349007.25,2s2.2p2.(3P).3s,4P,3/2,2s2.2p2.(3P).3p,4D*,5/2,,"T1115CA,LS",L767,
F,3,312.154,0.010,312.1536,180,1.6e+08,D,317239.97,349266.20,2s2.2p2.(3P).3s,4P,5/2,2s2.2p2.(3P).3p,4D*,7/2,,"T1115CA,LS",L767,
F,3,312.479,0.010,312.4779,140,1.3e+08,D,316709.81,348702.80,2s2.2p2.(3P).3s,4P,1/2,2s2.2p2.(3P).3p,4D*,1/2,,"T1115CA,LS",L767,
F,3,313.423,0.010,313.4221,140,8.4e+07,D,316920.99,348817.60,2s2.2p2.(3P).3s,4P,3/2,2s2.2p2.(3P).3p,4D*,3/2,,"T1115CA,LS",L767,
F,3,314.699,0.010,314.6982,140,4.7e+07,D,317239.97,349007.25,2s2.2p2.(3P).3s,4P,5/2,2s2.2p2.(3P).3p,4D*,5/2,,"T1115CA,LS",L767,
F,2,315.349,0.010,,140,,,,,,,,,,,,,L369,
F,3,317.417,0.010,317.4179,180,1.7e+08,D,324876.72,356371.82,2s2.2p2.(3P).3s,2P,3/2,2s2.2p2.(3P).3p,2D*,5/2,,"T1115CA,LS",L767,
F,3,317.476,0.010,317.4758,170,1.4e+08,D,324492.55,355981.90,2s2.2p2.(3P).3s,2P,1/2,2s2.2p2.(3P).3p,2D*,3/2,,"T1115CA,LS",L767,
