element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Xe,3,144.6268,0.0020,144.6261+,8,,,112449.90,181593.70,5s2.5p3.(4S*).5d,5D*,1,5s2.5p3.(2D*).4f,3F,2,,,L10579,
Xe,3,144.7487,0.0020,144.7492+,5,,,112271.78,181356.80,5s2.5p3.(4S*).5d,5D*,4,5s2.5p3.(2D*).4f,3H,5,,,L10579,
Xe,3,144.7580,0.0020,144.7580+,8,,,117240.08,186320.88,5s2.5p3.(4S*).5d,3D*,2,5s2.5p3.(2P*).6p,3P,2,,,L10579,
Xe,3,145.0093,0.0020,145.0086+,7,,,128349.15,197310.57,5s2.5p3.(2D*).5d,3G*,3,5s2.5p3.(4S*).5f,5F,4,,,L10579,
Xe,3,145.1141,0.0020,145.1146+,3,,,98262.47,167173.54,5s.5p5,3P*,2,5s2.5p3.(4S*).4f,5F,1,,,L10579,
Xe,4,145.2150,0.0010,145.215+,7,,,121928.9,190792.5,5s.5p4,2D,3/2,5s2.5p2.(3P).6p,4D*,3/2,,,L11502,
Xe,3,145.3408,0.0020,145.3407+,7,,,98262.47,167066.32,5s.5p5,3P*,2,5s2.5p3.(2D*).6p,3P,2,,,L10579,
Xe,4,145.5420,0.0010,145.541+,7,,,136495.9,205205.0,5s2.5p2.(3P).5d,4F,5/2,5s2.5p2.(1D).4f,2F*,5/2,,,L11502,
Xe,3,145.5769,0.0020,145.5763+,1,,,134667.42,203359.91,5s2.5p3.(2D*).6s,3D*,2,5s2.5p3.(2P*).4f,3D,2,,,L10579,
Xe,3,145.7351,0.0020,145.7352+,8,,,98262.47,166880.09,5s.5p5,3P*,2,5s2.5p3.(4S*).4f,5F,2,,,L10579,
Xe,3,145.7845,0.0020,145.7843+,6,,,121229.58,189824.07,5s2.5p3.(4S*).5d,3D*,3,5s2.5p3.(2D*).4f,1D,2,,,L10579,
Xe,3,145.8806,0.0020,145.8803+,4,,,121229.58,189778.94,5s2.5p3.(4S*).5d,3D*,3,5s2.5p3.(2D*).4f,1F,3,,,L10579,
Xe,7,146.095,0.002,146.1*,2,,,408347.,476800,5s.6p,3P*,2,5s.6d,3D,3,,,L11900,
Xe,3,146.1206,0.0020,146.1206+,5,,,98262.47,166699.11,5s.5p5,3P*,2,5s2.5p3.(2D*).6p,3D,3,,,L10579,
Xe,3,146.2549,0.0020,146.2543+,2,,,127782.14,196156.21,5s2.5p3.(2D*).5d,3G*,4,5s2.5p3.(2P*).4f,3F,3,,,L10579,
Xe,4,146.3880,0.0010,146.391+,1,,,160665.1,228975.4,5s2.5p2.(1D).5d,2G,7/2,5s2.5p2.(1S).4f,2F*,7/2,,,L11502,
Xe,4,146.5730,0.0010,146.572+,9,,,148685.0,216910.7,5s2.5p2.(3P).5d,4D,5/2,5s2.5p2.(1D).6p,2D*,5/2,,,L11502,
Xe,3,146.5730,0.0010,146.5727+,3,,,121475.94,189701.46,5s2.5p3.(4S*).6s,5S*,2,5s2.5p3.(2D*).4f,3P,1,,,L7270,
Xe,3,146.8178,0.0020,146.8179+,6,,,98262.47,166374.06,5s.5p5,3P*,2,5s2.5p3.(4S*).4f,5F,3,,,L10579,
Xe,3,146.8378,0.0020,146.8390+,1,,,138658.20,206760.00,5s2.5p3.(2D*).6s,3D*,3,5s2.5p3.(2P*).4f,3F,4,,,L10579,
Xe,1,146.9610,0.0003,146.96123+,600,2.73e+08,A+,0.000,68045.156,5p6,1S,0,5p5.(2P*<3/2>).6s,2[3/2]*,1,,T7227,L7324c110,
Xe,4,147.0580,0.0010,147.058+,5,,,133027.4,201027.6,5s2.5p2.(3P).5d,2P,3/2,5s2.5p2.(3P).6p,4S*,3/2,,,L11502,
Xe,3,147.1312,0.0020,147.1315+,9,,,119026.03,186992.43,5s2.5p3.(2D*).5d,1P*,1,5s2.5p3.(2D*).4f,3D,2,,,L10579,
Xe,3,147.2727,0.0020,147.2725+,7,,,121922.75,189824.07,5s2.5p3.(4S*).5d,3D*,1,5s2.5p3.(2D*).4f,1D,2,,,L10579,
Xe,7,147.325,0.002,147.33*,4,,,408347.,476220,5s.6p,3P*,2,5s.6d,3D,2,,,L11900,
Xe,3,147.4781,0.0020,147.4773+,2,,,128349.15,196156.21,5s2.5p3.(2D*).5d,3G*,3,5s2.5p3.(2P*).4f,3F,3,,,L10579,
Xe,4,147.8330,0.0010,147.833+,6,,,136495.9,204140.0,5s2.5p2.(3P).5d,4F,5/2,5s2.5p2.(3P).6p,4P*,3/2,,,L11502,
Xe,4,148.0780,0.0010,148.079+,8,,,165280.0,232811.4,5s2.5p2.(3P).6s,4P,3/2,5s2.5p2.(1S).6p,2P*,1/2,,,L11502,
Xe,3,148.2243,0.0020,148.2244+,9w,,,36102.94,103568.20,5s2.5p4,1S,0,5s.5p5,3P*,1,,,L10579,
Xe,4,148.2450,0.0010,148.245+,9,,,148685.0,216141.0,5s2.5p2.(3P).5d,4D,5/2,5s2.5p2.(1D).6p,2D*,3/2,,,L11502,
Xe,3,148.4688,0.0020,148.4685+,6,,,117240.08,184594.45,5s2.5p3.(4S*).5d,3D*,2,5s2.5p3.(2P*).6p,3D,3,,,L10579,
Xe,4,148.4930,0.0010,148.492+,9,,,136796.3,204140.0,5s2.5p2.(3P).5d,2P,1/2,5s2.5p2.(3P).6p,4P*,3/2,,,L11502,
Xe,4,148.6050,0.0010,148.603+,3,,,157205.0,224498.2,5s2.5p2.(3P).6s,4P,1/2,5s2.5p2.(1D).6p,2P*,3/2,,,L11502,
Xe,3,148.6291,0.0020,148.6287+,7,,,111605.41,178887.17,5s2.5p3.(4S*).5d,5D*,3,5s2.5p3.(2D*).4f,3G,4,,,L10579,
Xe,3,148.8474,0.0020,148.8472+,4,,,121229.58,188412.56,5s2.5p3.(4S*).5d,3D*,3,5s2.5p3.(2D*).4f,3P,2,,,L10579,
Xe,4,149.3870,0.0010,149.386+,5,,,148685.0,215625.5,5s2.5p2.(3P).5d,4D,5/2,5s2.5p2.(1D).6p,2F*,5/2,,,L11502,
Xe,3,149.5446,0.0020,149.5444+,8,,,121922.75,188792.52,5s2.5p3.(4S*).5d,3D*,1,5s2.5p3.(2D*).4f,3D,1,,,L10579,
Xe,5,149.6380,0.0010,149.639+,8,,,119919.0,186746.7,5s.5p3,3D*,3,5s2.5p.(2P*).4f,3G,3,,,L7287,
Xe,4,149.6650,0.0010,149.665+,5,,,165995.3,232811.4,5s.5p4,2P,3/2,5s2.5p2.(1S).6p,2P*,1/2,,,L11502,
Xe,4,149.7090,0.0010,149.708+,9,,,141824.4,208621.1,5s2.5p2.(1D).5d,2F,5/2,5s2.5p2.(3P).4f,2F*,5/2,,,L11502,
Xe,4,149.7190,0.0010,149.719+,10,,,121928.9,188720.6,5s.5p4,2D,3/2,5s2.5p2.(3P).4f,2D*,5/2,,,L11502,
Xe,3,149.7708,0.0020,149.7701+,4,,,117240.08,184009.10,5s2.5p3.(4S*).5d,3D*,2,5s2.5p3.(2P*).6p,1D,2,,,L10579,
Xe,3,150.1157,0.0020,150.1155+,1,,,112271.78,178887.17,5s2.5p3.(4S*).5d,5D*,4,5s2.5p3.(2D*).4f,3G,4,,,L10579,
Xe,3,150.4900,0.0020,150.4898+,3,,,111856.38,178306.08,5s2.5p3.(4S*).5d,5D*,2,5s2.5p3.(2D*).4f,3G,3,,,L10579,
Xe,5,150.5800,0.0010,150.581+,9,,,184147.6,250557.2,5s2.5p.(2P*).5d,3P*,1,5s2.5p.(2P*).6p,1D,2,,,L7287,
Xe,4,150.6410,0.0010,150.640+,6,,,125474.7,191858.2,5s.5p4,2D,5/2,5s2.5p2.(3P).4f,4F*,3/2,,,L11502,
Xe,4,150.6720,0.0010,150.671+,6,,,133027.4,199397.0,5s2.5p2.(3P).5d,2P,3/2,5s2.5p2.(3P).4f,2D*,3/2,,,L11502,
Xe,3,150.8178,0.0020,150.8172+,5,,,126119.77,192425.21,5s2.5p3.(2D*).5d,3F*,3,5s2.5p3.(2D*).4f,1G,4,,,L10579,
Xe,3,150.9458,0.0020,150.9453+,7,,,98262.47,164511.65,5s.5p5,3P*,2,5s2.5p3.(2D*).6p,1P,1,,,L10579,
Xe,3,150.9530,0.0020,150.9521+,3,,,138658.20,204904.40,5s2.5p3.(2D*).6s,3D*,3,5s2.5p3.(2P*).4f,1G,4,,,L10579,
Xe,3,150.9841,0.0020,150.9824+,5,,,117240.08,183472.95,5s2.5p3.(4S*).5d,3D*,2,5s2.5p3.(2D*).4f,1P,1,,,L10579,
Xe,3,151.1119,0.0020,151.1118+,6,,,98262.47,164438.64,5s.5p5,3P*,2,5s2.5p3.(2D*).6p,1F,3,,,L10579,
Xe,4,151.4080,0.0010,151.407+,1,,,134980.6,201027.6,5s2.5p2.(3P).5d,4F,3/2,5s2.5p2.(3P).6p,4S*,3/2,,,L11502,
Xe,4,151.7030,0.0010,151.702+,10,,,134980.6,200899.4,5s2.5p2.(3P).5d,4F,3/2,5s2.5p2.(3P).6p,4P*,1/2,,,L11502,
Xe,3,152.0619,0.0020,152.0615+,5,,,121229.58,186992.43,5s2.5p3.(4S*).5d,3D*,3,5s2.5p3.(2D*).4f,3D,2,,,L10579,
Xe,3,152.1501,0.0020,152.1499+,5,,,138658.20,204382.87,5s2.5p3.(2D*).6s,3D*,3,5s2.5p3.(2P*).4f,3D,3,,,L10579,
Xe,3,152.4280,0.0020,152.4283+,4,,,112449.90,178054.53,5s2.5p3.(4S*).5d,5D*,1,5s2.5p3.(2P*).6p,3P,0,,,L10579,
Xe,4,152.4280,0.0010,152.427+,1,,,167206.4,232811.4,5s2.5p2.(3P).6s,2P,1/2,5s2.5p2.(1S).6p,2P*,1/2,,,L11502,
Xe,4,152.6460,0.0010,152.643+,2,,,163463.1,228975.4,5s2.5p2.(1D).5d,2G,9/2,5s2.5p2.(1S).4f,2F*,7/2,,,L11502,
Xe,3,152.6586,0.0020,152.6577+,7,,,112449.90,177955.93,5s2.5p3.(4S*).5d,5D*,1,5s2.5p3.(2P*).6p,3D,2,,,L10579,
Xe,4,152.8970,0.0010,152.897+,3,,,150737.3,216141.0,5s.5p4,2S,1/2,5s2.5p2.(1D).6p,2D*,3/2,,,L11502,
