obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
829.230,0.003,829.2308,0.0006,170,,,97492.304,[109548.3584],3,,,29,,,,,L7400c29,
829.883,0.003,829.8835,0.0006,210,,,97492.304,[109538.8768],3,,,28,,,,,L7400c29,
830.610,0.003,830.6113,0.0006,250,,,97492.304,[109528.3223],3,,,27,,,,,L7400c29,
831.426,0.003,831.4261,0.0006,290,,,97492.304,[109516.5267],3,,,26,,,,,L7400c29,
832.342,0.003,832.3425,0.0006,290,,,97492.304,[109503.2875],3,,,25,,,,,L7400c29,
833.378,0.003,833.3783,0.0006,370,,,97492.304,[109488.3592],3,,,24,,,,,L7400c29,
834.554,0.003,834.5553,0.0006,500,,,97492.304,[109471.4416],3,,,23,,,,,L7400c29,
835.900,0.003,835.9004,0.0006,500,,,97492.304,[109452.1650],3,,,22,,,,,L7400c29,
837.448,0.003,837.4476,0.0006,600,,,97492.304,[109430.0696],3,,,21,,,,,L7400c29,
839.240,0.003,839.2397,0.0006,700,1.5167e+03,AAA,97492.304,[109404.5776],3,,,20,,,,T8637,L7400c29,
841.332,0.003,841.3318,0.0006,700,1.9643e+03,AAA,97492.304,[109374.9555],3,,,19,,,,T8637,L7400c29,
843.795,0.003,843.7956,0.0006,700,2.5804e+03,AAA,97492.304,[109340.2604],3,,,18,,,,T8637,L7400c29,
846.726,0.003,846.7254,0.0006,700,3.4442e+03,AAA,97492.304,[109299.2642],3,,,17,,,,T8637,L7400c29,
859.839,0.003,859.8392,0.0006,2300,9.2117e+03,AAA,97492.304,[109119.1917],3,,,14,,,,T8637,L7400c29,
875.046,0.003,875.0472,0.0005,2200,2.0207e+04,AAA,97492.304,108917.1209,3,,,12,,,,T8637,L7400c29,
1093.817,0.013,1093.8086,0.0010,14000,7.7829e+05,AAA,97492.304,106632.1681,3,,,6,,,,T8637,L7421,
1281.8072,0.0008,1281.8070,0.0010,32000,2.2008e+06,AAA,97492.304,105291.657,3,,,5,,,,T8637,L7421,
1555.621,0.006,1555.6466,0.0015,800,3.6714e+03,AAA,102823.904,[109250.3433],4,,,16,,,,T8637,L7421c31,
1640.688,0.013,1640.7210,0.0016,1400,1.6205e+04,AAA,102823.904,108917.1209,4,,,12,,,,T8637,L7421c31,
1680.651,0.003,1680.6538,0.0017,1600,2.5565e+04,AAA,102823.904,108772.3445,4,,,11,,,,T8637,L7421,
1736.2143,0.0021,1736.2127,0.0018,3100,4.2347e+04,AAA,102823.904,108581.9945,4,,,10,,,,T8637,L7421,
1817.424,0.004,1817.4141,0.0020,2800,7.4593e+04,AAA,102823.904,108324.7253,4,,,9,,,,T8637,L7421c31,
obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
2166.1178,0.0023,2166.121,0.003,8000,3.0415e+05,AAA,102823.904,107440.4508,4,,,7,,,,T8637,L7421,
3740.576,0.017,3740.555,0.008,2500,1.3877e+05,AAA,105291.657,107965.0568,5,,,8,,,,T8637,L7421,
4052.279,0.008,4052.269,0.010,11000,2.6993e+06,AAA,102823.904,105291.657,4,,,5,,,,T8637,L7421,
4653.78,0.03,4653.774,0.013,4200,3.2528e+05,AAA,105291.657,107440.4508,5,,,7,,,,T8637,L7421,
7502.44,0.17,7502.502,0.012,620,1.5609e+05,AAA,106632.1681,107965.0568,6,,,8,,,,T8637,L7452,
8154.84,0.05,8154.887,0.011,120,3.3586e+03,AAA,107965.0568,[109191.3154],8,,,15,,,,T8637,L7424c32,
8664.460,0.023,8664.498,0.011,180,5.0098e+03,AAA,107965.0568,[109119.1917],8,,,14,,,,T8637,L7424c32,
8760.064,0.014,8760.068,0.012,420,3.9049e+04,AAA,107440.4508,108581.9945,7,,,10,,,,T8637,L7424c32,
9392.03,0.03,9392.013,0.014,60,7.8037e+03,AAA,107965.0568,[109029.7913],8,,,13,,,,T8637,L7424c32,
10503.507,0.018,10503.494,0.012,190,1.2870e+04,AAA,107965.0568,108917.1209,8,,,12,,,,T8637,L7424c32,
10803.59,0.07,10803.593,0.020,80,2.2679e+03,AAA,108324.7253,[109250.3433],9,,,16,,,,T8637,L7424c32,
11308.681,0.018,11308.706,0.017,420,8.2370e+04,AAA,107440.4508,108324.7253,7,,,9,,,,T8637,L7424c32,
11539.54,0.04,11539.481,0.021,110,3.3253e+03,AAA,108324.7253,[109191.3154],9,,,15,,,,T8637,L6002,
12371.912,0.020,12371.91,0.03,410,4.5608e+05,AAA,106632.1681,107440.4508,6,,,7,,,,T8637,L7424c32,
12387.153,0.018,12387.158,0.017,340,2.3007e+04,AAA,107965.0568,108772.3445,8,,,11,,,,T8637,L7424c32,
12587.05,0.03,12587.065,0.022,210,5.0797e+03,AAA,108324.7253,[109119.1917],9,,,14,,,,T8637,L7424c32,
19061.96,0.04,19061.92,0.04,540,2.2720e+05,AAA,107440.4508,107965.0568,7,,,8,,,,T8637,L7455,
69071.7,2.4,69072.0,0.5,14bl,2.7989e+04,AAA,108772.3445,108917.1209,11,,,12,,,,T8637,u32,
88761,8,88754.5,1.1,9bl,1.8569e+04,AAA,108917.1209,[109029.7913],12,,,13,,,,T8637,u32,
111863,9,111856.3,2.3,14bl,1.2709e+04,AAA,[109029.7913],[109119.1917],13,,,14,,,,T8637,u32,
138750,80,138651,3,19,8.9344e+03,AAA,[109119.1917],[109191.3154],14,,,15,,,,T8637,L7352,
169423,14,169411,5,16,6.4283e+03,AAA,[109191.3154],[109250.3433],15,,,16,,,,T8637,L7352,

