element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Kr,2,172.6078,0.0010,172.6085+,0.0004,7,,,120426.93,178361.50,4s2.4p4.(3P).4d,4D,5/2,4s2.4p4.(3P<2>).5f,2[4]*,7/2,,,L353,
Kr,4,172.711,0.010,172.711+,0.004,6,,,186565.6,244465.9,4s2.4p2.(1D).4d,2F,7/2,4s2.4p2.(3P).5p,4P*,5/2,,,L7257,
Kr,4,172.778,0.010,172.777+,0.004,10,,,186565.6,244443.6,4s2.4p2.(1D).4d,2F,7/2,4s2.4p2.(3P).5p,4D*,7/2,,,L7257,
Kr,3,172.820,0.010,172.8189+,0.0004,6,,,154399.71,212263.74,4s2.4p3.(2D*).4d,1S*,0,4s2.4p3.(2P*).5p,1P,1,,,L7284,
Kr,4,172.855,0.010,172.855+,0.004,8,,,207595.4,265447.4,4s2.4p2.(3P).4d,2D,3/2,4s2.4p2.(1D).5p,2P*,3/2,,,L7257,
Kr,4,172.941,0.010,172.941+,0.004,10,,,237445.1,295268.2,4s2.4p2.(3P).5p,4D*,1/2,4s2.4p2.(3P).5d,4D,1/2,,,L7257,
Kr,4,173.128,0.010,173.129+,0.004,7,,,205399.6,263160.1,4s.4p4,2P,3/2,4s2.4p2.(1D).5p,2P*,1/2,,,L7257,
Kr,3,173.174,0.010,173.1771+,0.0004,2d,,,179628.83,237373.20,4s2.4p3.(4S*).5p,3P,1,4s2.4p3.(2D*).5d,3P*,0,,,L7284,
Kr,3,173.298,0.010,173.2976+,0.0004,1,,,151580.19,209284.41,4s2.4p3.(4S*).5s,3S*,1,4s2.4p3.(2P*).5p,3P,1,,,L7284,
Kr,2,173.4507,0.0010,173.4502+,0.0004,2,,,121000.37,178653.80,4s2.4p4.(3P).4d,4D,3/2,4s2.4p4.(3P<2>).5f,2[1]*,1/2,,,L353,
Kr,2,173.454,0.010,173.4556+,0.0003,1,,,121002.149,178653.80,4s2.4p4.(3P).5s,2P,1/2,4s2.4p4.(3P<2>).5f,2[1]*,1/2,,,L10563,
Kr,4,173.663,0.010,173.663+,0.004,8,,,180686.7,238269.4,4s2.4p2.(3P).4d,4D,1/2,4s2.4p2.(3P).5p,4D*,3/2,,,L7257,
Kr,4,173.800,0.010,173.800+,0.004,7,,,258355.4,315892.9,4s2.4p2.(1D).5p,2D*,3/2,4s2.4p2.(1D).6s,2D,3/2,,,L7257,
Kr,2,173.8804,0.0010,173.8805+,0.0004,4,,,121000.37,178511.13,4s2.4p4.(3P).4d,4D,3/2,4s2.4p4.(3P<2>).5f,2[2]*,3/2,,,L353,
Kr,2,173.8861,0.0010,173.8859+,0.0003,1,,,121002.149,178511.13,4s2.4p4.(3P).5s,2P,1/2,4s2.4p4.(3P<2>).5f,2[2]*,3/2,,,L353,
Kr,4,174.056,0.010,174.055+,0.004,7,,,241802.6,299255.8,4s2.4p2.(3P).5p,4P*,3/2,4s2.4p2.(3P).5d,4P,3/2,,,L7257,
Kr,4,174.073,0.010,174.074+,0.004,8,,,258355.4,315802.1,4s2.4p2.(1D).5p,2D*,3/2,4s2.4p2.(1D).6s,2D,5/2,,,L7257,
Kr,3,174.145,0.010,174.1446+,0.0004,5,,,154699.86,212123.41,4s2.4p3.(2D*).4d,3F*,3,4s2.4p3.(2P*).5p,1D,2,,,L7284,
Kr,2,174.2093,0.0010,174.2098+,0.0004,6,,,121000.37,178402.42,4s2.4p4.(3P).4d,4D,3/2,4s2.4p4.(3P<2>).5f,2[3]*,5/2,,,L353,
Kr,4,174.358,0.010,174.359+,0.004,10,,,244443.6,301796.5,4s2.4p2.(3P).5p,4D*,7/2,4s2.4p2.(3P).5d,2F,7/2,,,L7257,
Kr,3,174.419,0.010,174.4217+,0.0004,9bl,,,175778.64,233110.95,4s2.4p3.(4S*).5p,5P,2,4s2.4p3.(2D*).5d,3D*,2,,,L7284,
