element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),J_i,J_k,Type,tp_ref,line_ref,
U,2,353.111,,390,,,,,,,,,L3475,
U,2,353.357,,630,,,,,,,,,L3475,
U,1,353.433,,320,,,,,,,,,L3475,
U,2,354.047,,530,,,,,,,,,L3475,
U,1,354.257,,320,,,,,,,,,L3475,
U,2,354.719,,390,,,,,,,,,L3475,
U,1,354.920,,320,,,,,,,,,L3475,
U,2,355.082,,1200,,,,,,,,,L3475,
U,2,355.217,,320,,,,,,,,,L3475,
U,1,355.2950,,20,2.0e+06,C,,,6,6,,T4515,L1813,
U,1,355.3010,,370,1.4e+06,C,,,4,3,,T4515,L1813,
U,1,355.3435,,720,2.2e+06,C,,,7,6,,T4515,L1813,
U,1,355.4499,,600,8.4e+05,C,,,5,4,,T4515,L1813,
U,1,355.4874,,390,7.9e+05,C,,,7,8,,T4515,L1813,
U,1,355.532,,680,2.7e+06,C,,,6,7,,T4515,L3475,
U,1,355.5827,,570,4.1e+05,C,,,6,5,,T4515,L1813,
U,1,355.6925,,30,7.5e+05,C,,,6,5,,T4515,L1813,
U,1,355.7841,,910,2.9e+06,C,,,6,6,,T4515,L1813,
U,1,355.8015,,120,1.6e+06,C,,,5,6,,T4515,L1813,
U,1,355.8579,,470,3.9e+06,C,,,4,3,,T4515,L1813,
U,1,355.9400,,290,1.5e+06,C,,,3,4,,T4515,L1813,
U,1,356.0309,,290,6.4e+06,C,,,4,3,,T4515,L1813,
U,1,356.141,,320,5.5e+06,C,,,7,6,,T4515,L3475,
U,1,356.1460,,110,2.5e+06,C,,,4,4,,T4515,L1813,
U,1,356.180,,1200,5.7e+06,C,,,6,5,,T4515,L3475,
U,1,356.366,,390,2.9e+06,C,,,6,6,,T4515,L3475,
U,1,356.3816,,40,1.1e+06,C,,,3,3,,T4515,L1813,
U,1,356.5046,,470,2.9e+06,C,,,6,5,,T4515,L1813,
U,1,356.6002,,490,1.7e+06,C,,,6,7,,T4515,L1813,
U,1,356.659,,2300,2.4e+07,B,,,5,5,,T4515,L3475,
U,1,356.8779,,600,3.8e+06,C,,,6,6,,T4515,L1813,
U,1,356.908,,530,1.1e+07,C,,,8,7,,T4515,L3475,
U,1,356.9367,,290,1.5e+06,C,,,4,4,,T4515,L1813,
U,1,357.0094,,230,1.3e+06,C,,,6,5,,T4515,L1813,
U,1,357.0217,,370,5.3e+05,C,,,5,4,,T4515,L1813,
U,1,357.0584,,210,2.7e+06,C,,,6,7,,T4515,L1813,
U,1,357.0711,,430,1.2e+06,C,,,7,7,,T4515,L1813,
U,1,357.1164,,550,6.3e+05,C,,,5,5,,T4515,L1813,
U,1,357.1551,,230,1.3e+07,C,,,8,7,,T4515,L1813,
U,1,357.2927,,470,1.5e+06,C,,,6,7,,T4515,L1813,
U,1,357.3875,,450,4.0e+06,C,,,6,5,,T4515,L1813,
U,1,357.4110,,290,3.5e+06,C,,,6,7,,T4515,L1813,
U,1,357.476,,320,1.9e+06,C,,,6,7,,T4515,L3475,
U,1,357.7069,,370,4.3e+06,C,,,8,7,,T4515,L1813,
U,1,357.7490,,230,7.8e+05,C,,,7,6,,T4515,L1813,
U,1,357.7781,,430,8.3e+05,C,,,5,5,,T4515,L1813,
U,1,357.792,,360,2.3e+06,C,,,6,6,,T4515,L3475,
U,1,357.8327,,620,2.0e+06,C,,,6,5,,T4515,L1813,
U,2,357.872,,630,,,,,,,,,L3475,
U,1,357.9952,,160,1.2e+06,C,,,4,4,,T4515,L1813,
U,1,358.0246,,640,2.9e+06,C,,,5,4,,T4515,L1813,
U,1,358.0365,,530,7.5e+05,C,,,5,6,,T4515,L1813,
U,1,358.0921,,430,2.1e+06,C,,,6,6,,T4515,L1813,
U,2,358.184,,360,,,,,,,,,L3475,
U,1,358.2622,,530,2.9e+06,C,,,6,6,,T4515,L1813,
U,1,358.4641,,240,2.4e+06,C,,,3,2,,T4515,L1813,
U,1,358.488,,3200,1.8e+07,B,,,6,7,,T4515,L3475,
U,1,358.5375,,600,1.9e+06,C,,,5,5,,T4515,L1813,
U,1,358.5837,,640,2.8e+06,C,,,5,4,,T4515,L1813,
U,1,358.7784,,150,1.3e+06,C,,,4,5,,T4515,L1813,
U,1,358.8348,,210,1.8e+06,C,,,3,4,,T4515,L1813,
U,1,358.9659,,640,2.1e+06,C,,,5,6,,T4515,L1813,
U,1,358.9787,,570,5.9e+06,C,,,7,6,,T4515,L1813,
U,2,359.050,,320,,,,,,,,,L3475,
U,1,359.0726,,190,2.2e+06,C,,,4,3,,T4515,L1813,
U,1,359.174,,390,5.3e+06,C,,,5,4,,T4515,L3475,
U,1,359.2969,,370,1.4e+06,C,,,5,5,,T4515,L1813,
U,1,359.3194,,410,4.2e+06,C,,,6,7,,T4515,L1813,
U,2,359.352,,460,,,,,,,,,L3475,
U,1,359.3686,,410,7.2e+06,C,,,5,5,,T4515,L1813,
U,1,360.527,,460,,,,,,,,,L3475,
U,2,360.632,,360,,,,,,,,,L3475,
U,1,361.633,,320,,,,,,,,,L3475,
U,2,361.676,,320,,,,,,,,,L3475,
U,1,362.008,,320,,,,,,,,,L3475,
U,1,362.270,,320,,,,,,,,,L3475,
U,2,362.306,,390,,,,,,,,,L3475,
U,2,363.073,,460,,,,,,,,,L3475,
U,1,363.820,,840,,,,,,,,,L3475,
U,2,364.076,,310,,,,,,,,,L3475,
U,1,364.424,,420,,,,,,,,,L3475,
U,2,364.503,,310,,,,,,,,,L3475,
U,1,365.154,,660,,,,,,,,,L3475,
U,1,365.206,,490,,,,,,,,,L3475,
U,1,365.915,,960,,,,,,,,,L3475,
U,2,367.007,,2800,,,,,,,,,L3475,
U,2,367.875,,380,,,,,,,,,L3475,
U,2,369.192,,540,,,,,,,,,L3475,
U,2,369.370,,330,,,,,,,,,L3475,
U,2,370.057,,540,,,,,,,,,L3475,
U,2,370.152,,1100,,,,,,,,,L3475,
U,1,371.355,,350,,,,,,,,,L3475,
U,2,371.742,,300,,,,,,,,,L3475,
U,2,371.811,,350,,,,,,,,,L3475,
U,2,372.982,,350,,,,,,,,,L3475,
U,2,373.262,,350,,,,,,,,,L3475,
U,2,373.307,,350,,,,,,,,,L3475,
U,2,373.804,,600,,,,,,,,,L3475,
U,2,374.425,,300,,,,,,,,,L3475,
U,2,374.642,,680,,,,,,,,,L3475,
U,2,374.714,,350,,,,,,,,,L3475,
U,2,374.868,,950,,,,,,,,,L3475,
U,1,375.117,,600,,,,,,,,,L3475,
U,2,375.266,,350,,,,,,,,,L3475,
U,2,375.548,,350,,,,,,,,,L3475,
U,1,375.835,,490,,,,,,,,,L3475,
U,2,375.924,,350,,,,,,,,,L3475,
U,1,376.326,,330,,,,,,,,,L3475,
