element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Nd,2,325.691,325.69034+,50,,,1470.105,32165.264,4f4.(5I).6s,6I,11/2,,*,9/2,,,L3475,
Nd,2,325.924,325.92298+,220,5.2e+06,B,513.330,31186.580,4f4.(5I).6s,6I,9/2,,*,7/2,,T7685,L3475,
Nd,2,326.066,326.06570+,100,,,0.000,30659.825,4f4.(5I).6s,6I,7/2,,*,5/2,,,L3475,
Nd,2,326.512,,220,,,,,,,,,,,,,L3475,
Nd,2,326.538,326.53662+,50,,,513.330,31128.940,4f4.(5I).6s,6I,9/2,,*,7/2,,,L3475,
Nd,2,326.725,326.72456+,170,,,3801.930,34399.930,4f4.(5I).6s,6I,15/2,,*,13/2,,,L3475,
Nd,2,327.318,327.31732+,100,,,1650.205,32192.795,4f4.(5I).6s,4I,9/2,,*,7/2,,,L3475,
Nd,2,327.522,327.52118+,320*,,,5085.640,35609.220,4f4.(5I).6s,6I,17/2,,*,15/2,,,L3475,
Nd,2,327.522,327.52166+,320*,,,1470.105,31993.640,4f4.(5I).6s,6I,11/2,,*,9/2,,,L3475,
Nd,2,328.149,328.14834+,50,,,12861.420,43326.665,4f3.5d.6s,6I*,7/2,4f3.5d.6p,,7/2,,,L3475,
Nd,2,328.2777,328.27661+,50,,,0.000,30453.341,4f4.(5I).6s,6I,7/2,,*,7/2,,,"L3260,L3475",
Nd,2,328.510,328.50846+,290,,,0.000,30431.849,4f4.(5I).6s,6I,7/2,,*,5/2,,,L3475,
Nd,2,328.662,328.66063+,100,,,2585.460,33003.220,4f4.(5I).6s,6I,13/2,,*,11/2,,,L3475,
Nd,2,329.065,329.06481+,100,,,513.330,30893.730,4f4.(5I).6s,6I,9/2,,*,7/2,,,L3475,
Nd,2,329.384,329.38167+,70,,,12861.420,43212.595,4f3.5d.6s,6I*,7/2,4f3.6s.6p,6I,7/2,,,L3475,
Nd,2,329.468,329.46569+,70,,,1650.205,31993.640,4f4.(5I).6s,4I,9/2,,*,9/2,,,L3475,
Nd,2,330.016,330.01433+,300,,,0.000,30292.992,4f4.(5I).6s,6I,7/2,,*,5/2,,,L3475,
Nd,2,331.275,331.27475+,200,,,513.330,30691.068,4f4.(5I).6s,6I,9/2,,*,11/2,,,L3475,
Nd,2,332.590,332.58892+,200,,,513.330,30571.830,4f4.(5I).6s,6I,9/2,,*,7/2,,,L3475,
Nd,2,332.8270,332.82613+,410,1.85e+07,B+,0.000,30037.077,4f4.(5I).6s,6I,7/2,,*,5/2,,T7685,"L3260,L3475",
Nd,2,333.157,333.15697+,250,,,3801.930,33809.180,4f4.(5I).6s,6I,15/2,,*,13/2,,,L3475,
Nd,2,333.4471,333.44652+,290,7.0e+06,B+,1470.105,31451.299,4f4.(5I).6s,6I,11/2,,*,9/2,,T7685,"L3260,L3475",
Nd,2,333.9063,333.90520+,290,8.6e+06,B+,513.330,30453.341,4f4.(5I).6s,6I,9/2,,*,7/2,,T7685,"L3260,L3475",
Nd,2,335.359,335.35949+,320,,,5085.640,34895.820,4f4.(5I).6s,6I,17/2,,*,15/2,,,L3475,
Nd,2,335.593,335.59128+,200,,,2585.460,32375.051,4f4.(5I).6s,6I,13/2,,*,11/2,,,L3475,
Nd,2,336.496,336.49430+,270,7.5e+06,B+,1470.105,31179.755,4f4.(5I).6s,6I,11/2,,*,9/2,,T7685,L3475,
Nd,2,339.363,339.36388+,290,,,3801.930,33260.370,4f4.(5I).6s,6I,15/2,,*,13/2,,,L3475,
Nd,1,348.488,,120w,,,,,,,,,,,,,L3475,
Nd,2,352.753,352.75047+,200*,,,0.000,28340.549,4f4.(5I).6s,6I,7/2,,*,9/2,,,L3475,
Nd,2,352.753,352.75245+,200*,,,10091.360,38431.750,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.5d.6p,,7/2,,,L3475,
Nd,2,354.335,354.33442+,290,5.6e+06,B,0.000,28213.865,4f4.(5I).6s,6I,7/2,4f4.(5I).6p,4H*,7/2,,T7685,L3475,
Nd,2,355.577,355.57640+,200,4.24e+06,B+,2585.460,30700.780,4f4.(5I).6s,6I,13/2,,*,13/2,,T7685,L3475,
Nd,2,356.075,356.07183+,410,1.05e+07,C+,3801.930,31878.132,4f4.(5I).6s,6I,15/2,,*,15/2,,T7685,L3475,
Nd,2,356.887,356.88694+,340,1.13e+07,B+,5085.640,33097.720,4f4.(5I).6s,6I,17/2,,*,17/2,,T7685,L3475,
Nd,2,358.751,358.74982+,470,9.6e+06,B+,1470.105,29336.730,4f4.(5I).6s,6I,11/2,,*,11/2,,T7685,L3475,
Nd,2,359.259,359.25786+,300,6.5e+06,B+,513.330,28340.549,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,L3475,
Nd,2,359.802,359.80206+,340,4.9e+06,B+,513.330,28298.462,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,L3475,
Nd,2,360.091,360.09045+,300,5.0e+06,B+,2585.460,30348.340,4f4.(5I).6s,6I,13/2,,*,13/2,,T7685,L3475,
Nd,2,360.979,360.97800+,320,1.02e+07,B+,0.000,27694.620,4f4.(5I).6s,6I,7/2,,*,7/2,,T7685,L3475,
Nd,2,361.5817,361.58120+,370,8.9e+06,B+,1650.205,29298.625,4f4.(5I).6s,4I,9/2,,*,9/2,,T7685,"L3260,L3475",
Nd,2,361.896,361.89675+,300,,,3066.755,30691.068,4f4.(5I).6s,4I,11/2,,*,11/2,,,L3475,
Nd,2,363.102,363.10130+,300,,,12600.805,40133.480,4f3.(4I*).5d2.(3F),6M*,19/2,4f3.5d.6p,,17/2,,,L3475,
Nd,2,363.430,363.43904+,340,,,4437.560,31944.650,4f4.(5I).5d,6L,11/2,,*,9/2,,,L3475,
Nd,2,363.700,363.69806+,240*,,,14299.295,41786.795&dagger;,4f3.(4I*).5d2.(3F),6M*,21/2,4f3.(4I*).5d (5L*).6p,6M,21/2,,,L3475,
Nd,2,363.700,363.69846+,240*,,,10941.995,38429.465,4f4.(5I).5d,,11/2,,*,13/2,,,L3475,
Nd,2,363.723,363.72241+,240,,,10980.540,38466.200,4f3.(4I*).5d2.(3F),6M*,17/2,,,15/2,,,L3475,
Nd,2,364.024,364.02333+,240,,,10054.195,37517.135,4f3.(4I*).5d (5K*).6s,6L*,11/2,4f3.5d.6p,,11/2,,,L3475,
Nd,2,364.578,364.57765+,240,3.55e+06,B+,513.330,27934.515,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,L3475,
Nd,2,364.820,364.81766+,340,,,10980.540,38383.685,4f3.(4I*).5d2.(3F),6M*,17/2,4f3.5d.6p,,15/2,,,L3475,
Nd,2,365.042,365.04013+,240,4.65e+06,B+,1650.205,29036.650,4f4.(5I).6s,4I,9/2,,*,7/2,,T7685,L3475,
Nd,2,365.315,365.31771+,410,2.7e+06,C+,4512.495,31878.132,4f4.(5I).6s,4I,13/2,,*,15/2,,T7685,L3475,
Nd,2,366.226,366.22242+,470*,,,14299.295,41597.330,4f3.(4I*).5d2.(3F),6M*,21/2,4f3.5d.6p,,19/2,,,L3475,
Nd,2,366.226,366.22537+,470*,,,12276.215,39574.030,4f4.(5I).5d,4K,11/2,,*,13/2,,,L3475,
Nd,2,366.518,366.51774+,540,1.08e+07,B+,1650.205,28926.245,4f4.(5I).6s,4I,9/2,,*,9/2,,T7685,L3475,
Nd,2,367.236,367.23099+,540*,,,9448.185,36671.250,4f3.(4I*).5d2.(3F),6M*,15/2,4f3.5d.6p,,13/2,,,L3475,
Nd,2,367.236,367.23969+,540*,,,18043.895,45266.315,4f3.5d.6s,4G*,9/2,4f3.6s.6p,6I,11/2,,,L3475,
Nd,2,367.354,367.34846+,580,,,10091.360,37305.720,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.5d.6p,6I,7/2,,,L3475,
Nd,2,367.818,367.81825+,240,2.00e+06,B+,0.000,27179.602,4f4.(5I).6s,6I,7/2,,*,9/2,,T7685,L3475,
Nd,2,368.580,368.57648+,1200*,,,8009.810,35133.500,4f3.(4I*).5d2.(3F),6M*,13/2,4f3.5d.6p,6L,11/2,,,L3475,
Nd,2,368.580,368.57940+,1200*,,,10794.290,37917.765,4f3.(4I*).5d (5K*).6s,6L*,13/2,,,15/2,,,L3475,
Nd,2,368.730,368.72841+,440,,,1470.105,28582.619,4f4.(5I).6s,6I,11/2,,*,11/2,,,L3475,
Nd,2,368.969,368.96865+,410,,,3066.755,30161.616,4f4.(5I).6s,4I,11/2,,*,11/2,,,L3475,
Nd,2,369.481,369.47943+,300,,,9448.185,36505.590,4f3.(4I*).5d2.(3F),6M*,15/2,,,13/2,,,L3475,
Nd,2,369.756,369.75282+,410,,,12600.805,39638.205,4f3.(4I*).5d2.(3F),6M*,19/2,4f3.5d.6p,,17/2,,,L3475,
Nd,2,370.495,,240,,,,,,,,,,,,,L3475,
Nd,2,371.370,371.36890+,470,,,5985.580,32905.325,4f4.(5I).6s,4I,15/2,,*,15/2,,,L3475,
Nd,2,371.420,371.41877+,370,,,13616.680,40532.810,4f3.(4I*).5d (5K*).6s,6K*,15/2,4f3.5d.6p,,17/2,,,L3475,
Nd,2,371.473,371.46327+,640D*,,,6005.270,32918.176,4f4.(5I).5d,6K,9/2,,*,9/2,,,L3475,
Nd,2,371.4808,371.48033+,640D*,,,513.330,27425.000,4f4.(5I).6s,6I,9/2,4f4.(5I).6p,6H*,9/2,,,"L3260,L3475",
Nd,2,371.504,371.50414+,250,,,12118.405,39028.350,4f3.(4I*).5d (5K*).6s,6K*,13/2,4f3.5d.6p,,15/2,,,L3475,
Nd,2,371.539,371.53752+,200*,,,0.000,26907.528,4f4.(5I).6s,6I,7/2,,*,7/2,,,L3475,
Nd,2,371.539,371.53915+,200*,,,10794.290,37701.700,4f3.(4I*).5d (5K*).6s,6L*,13/2,4f3.5d.6p,,15/2,,,L3475,
Nd,2,371.568,371.56759+,470,,,3801.930,30707.280,4f4.(5I).6s,6I,15/2,4f4.(5I).6p,6H*,15/2,,,L3475,
Nd,2,371.854,371.84837+,410*,,,8796.365,35681.400,4f4.(5I).5d,6G,5/2,,*,3/2,,,L3475,
Nd,2,371.854,371.85113+,410*,,,10887.245,37772.080,4f4.(5I).5d,4G,5/2,,*,5/2,,,L3475,
Nd,2,371.854,371.85196+,410*,,,3066.755,29951.530,4f4.(5I).6s,4I,11/2,,*,9/2,,,L3475,
Nd,2,371.854,371.85853+,410*,1.71e+06,B+,1470.105,28354.405,4f4.(5I).6s,6I,11/2,,*,13/2,,T7685,L3475,
Nd,2,372.135,372.13386+,410,,,9448.185,36312.595,4f3.(4I*).5d2.(3F),6M*,15/2,4f3.5d.6p,6L,13/2,,,L3475,
Nd,2,372.242,372.24395+,220,,,14130.055,40986.520,4f3.5d.6s,4L*,15/2,4f3.5d.6p,,15/2,,,L3475,
Nd,2,372.350,372.35029+,780,,,2585.460,29434.255,4f4.(5I).6s,6I,13/2,4f4.(5I).6p,6H*,13/2,,,L3475,
Nd,2,372.487,372.48674+,410,4.8e+06,B+,513.330,27352.290,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,L3475,
