element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mg,3,562.6406,562.6407,0.0010,4,,,546531.6,564300.0,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1,2s2.2p5.(2P*<3/2>).4p,2[1/2],0,,,L1434,
Mg,1,571.10880,571.10880,0.00010,30,3.86e+06,B,35051.264,52556.206,3s.3p,1P*,1,3s.5s,1S,0,,T5539,L7428,
Mg,3,573.4082,573.4097,0.0010,1,,,564300.0,581734.7,2s2.2p5.(2P*<3/2>).4p,2[1/2],0,2s2.2p5.(2P*<3/2>).4d,2[1/2]*,1,,,L1434,
Mg,1,578.5312,578.5313,0.0010,5,,,41197.403,58477.760,3s.4s,3S,1,3s.7p,3P*,2,,,L6095,
Mg,1,578.5560,578.5561,0.0010,4,,,41197.403,58477.020,3s.4s,3S,1,3s.7p,3P*,1,,,L6095,
Mg,3,583.9820,583.9810,0.0010,10,,,545820.4,562939.5,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,2s2.2p5.(2P*<3/2>).4p,2[3/2],2,,,L6095,
Mg,2,591.6429,591.6431,0.0010,7,6.42e+05,B,93310.59,110207.99,2p6.4d,2D,5/2,2p6.7p,2P*,3/2,,c31,L7414,
Mg,2,591.8158,591.8158,0.0010,6,7.04e+05,B,93311.11,110203.58,2p6.4d,2D,3/2,2p6.7p,2P*,1/2,,c31,L7414,
Mg,2,592.3366,592.3365,0.0010,3,1.40e+06,B+,97455.12,114332.74,2p6.5p,2P*,1/2,2p6.8d,2D,3/2,,c31,L7414,
Mg,2,592.8233,592.8233,0.0010,4,1.66e+06,B+,97468.92,114332.68,2p6.5p,2P*,3/2,2p6.8d,2D,5/2,,c31,L7414,
Mg,2,593.8629,593.8629,0.0010,3,1.36e+06,B,97455.12,114289.36,2p6.5p,2P*,1/2,2p6.9s,2S,1/2,,c31,L7414,
Mg,2,594.3499,594.3501,0.0010,4,2.71e+06,B+,97468.92,114289.36,2p6.5p,2P*,3/2,2p6.9s,2S,1/2,,c31,L7414,
Mg,3,594.5873,594.5848,0.0010,1,,,545820.4,562634.2,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,2s2.2p5.(2P*<3/2>).4p,2[3/2],1,,,L1434,
Mg,3,598.7370,598.7370,0.0010,2,,,548034.4,564731.6,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,0,2s2.2p5.(2P*<1/2>).4p,2[1/2],1,,,L1434,
Mg,3,609.2912,609.2938,0.0010,4,,,546531.6,562939.5,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1,2s2.2p5.(2P*<3/2>).4p,2[3/2],2,,,L1434,
Mg,3,612.7392,612.7370,0.0010,6,,,545820.4,562136.1,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,2s2.2p5.(2P*<3/2>).4p,2[5/2],2,,,L1434,
Mg,3,615.0082,615.0100,0.0010,4,,,548034.4,564289.8,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,0,2s2.2p5.(2P*<1/2>).4p,2[3/2],1,,,L1434,
Mg,3,620.8440,620.8460,0.0010,6,,,546531.6,562634.2,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1,2s2.2p5.(2P*<3/2>).4p,2[3/2],1,,,L6095,
Mg,3,624.4024,624.4018,0.0010,4,,,548720.7,564731.6,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,1,2s2.2p5.(2P*<1/2>).4p,2[1/2],1,,,L1434,
Mg,3,625.6750,625.6757,0.0010,15,,,545820.4,561798.7,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,2s2.2p5.(2P*<3/2>).4p,2[5/2],3,,,L6095,
Mg,3,627.0250,627.0257,0.0010,7,,,548720.7,564664.6,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,1,2s2.2p5.(2P*<1/2>).4p,2[3/2],2,,,L1434,
Mg,1,631.8716,631.8717,0.0010,10,2.63e+05,D+,41197.403,57019.025,3s.4s,3S,1,3s.6p,3P*,2,,"T6298c72,LS",L6095,
Mg,1,631.9236,631.9237,0.0010,9,2.64e+05,D,41197.403,57017.724,3s.4s,3S,1,3s.6p,3P*,1,,"T6298c72,LS",L6095,
Mg,1,631.9493,631.9495,0.0010,7,2.63e+05,E,41197.403,57017.078,3s.4s,3S,1,3s.6p,3P*,0,,"T6298c72,LS",L6095,
Mg,2,634.6737,634.6742,0.0010,10,2.20e+07,A,93310.59,109062.35,2p6.4d,2D,5/2,2p6.6f,2F*,7/2,,c31,L7414,
Mg,2,634.6962,634.6964,0.0010,9,2.05e+07,A,93311.11,109062.32,2p6.4d,2D,3/2,2p6.6f,2F*,5/2,,c31,L7414,
