element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mg,1,924.6499,924.6508,0.0010,12,2.99e+05,B,46403.065,57214.992,3s.3d,1D,2,3s.6p,1P*,1,,T5539,L6095,
Mg,1,925.5778,925.5778,0.0010,30,7.95e+06,B+,46403.065,57204.163,3s.3d,1D,2,3s.5f,1F*,3,,T5539,L6095,
Mg,1,925.974,925.972,0.010,8,,,49346.729,60143.23,3s.4p,1P*,1,3s.10s,1S,0,,,L4832,
Mg,1,927.344,927.3454,0.0010,9,,,49346.729,60127.239,3s.4p,1P*,1,3s.9d,1D,2,,,L4832,
Mg,2,932.7545,932.7522,0.0010,10*,,,103689.86,114407.88,2p6.5f,2F*,5/2,2p6.8g,2G,7/2,,,L7414,
Mg,2,932.7545,932.7574,0.0010,10*,,,103689.92,114407.88,2p6.5f,2F*,7/2,2p6.8g,2G,9/2,,,L7414,
Mg,2,934.0544,934.0542,0.0010,10,,,103705.66,114408.74,2p6.5g,2G,9/2,2p6.8h,2H*,11/2,,,L7414,
Mg,1,941.4964,941.4943,0.0010,25*,2.88e+06,C+,47957.027,58575.527,3s.3d,3D,2,3s.6f,3F*,3,,"T6298c72,LS",L6095,
Mg,1,941.4964,941.4959,0.0010,25*,3.24e+06,B,47957.045,58575.527,3s.3d,3D,3,3s.6f,3F*,4,,"T6298c72,LS",L6095,
Mg,1,941.4964,941.4970,0.0010,25*,2.72e+06,C+,47957.058,58575.527,3s.3d,3D,1,3s.6f,3F*,2,,"T6298c72,LS",L6095,
Mg,1,942.9814,942.9814,0.0010,17,1.34e+06,C,47841.119,58442.874,3s.4p,3P*,0,3s.6d,3D,1,,"T6298c72,LS",L6095,
